Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,82.19683480262756,9.260991414388021,25.636531957995672,76.48076,-29.486403,63.852473958333334,1078.0930695754735,2890.6453,-1565.5917,798.5333333333333,12.8263486328125,7.197114222033718,46.652683,-46.375774,12.8266416015625,7.197860739049485,48.791084,-40.333805,8.0441865234375,-12.7261494140625,1.29765869140625,0.0539014892578125,-0.0018954495191574098,5.7202392578125,-2.3622216796875,-0.13551252746582032,1.0808043021070581,3.1588414,-1.4405785
2,8000,106.34873461723328,47.472469075520834,43.31904862711476,108.281975,-30.467894,1670.759375,1821.695986345325,4227.982,-1606.8663,658.2666666666667,34.2599140625,6.430267478398546,70.56909,-50.72601,34.26039453125,6.42865259745384,70.840836,-52.256996,8.0117939453125,-33.6821875,2.346828857421875,0.07677159118652344,3.101012110710144e-05,12.367091796875,-0.5620634765625,-0.951376220703125,0.19683233858525243,-0.26803908,-1.8495477
3,12000,130.57409119606018,38.36042887369792,39.32052283000571,96.397934,-38.465084,1287.57109375,1653.54584655723,3728.2222,-1943.1721,981.1,50.868828125,9.097507814643524,104.05093,-124.8861,50.86919921875,9.096735764135396,109.68744,-124.10576,8.0053173828125,-50.14275390625,3.123244384765625,0.08200093078613281,0.00020983530580997466,12.207005859375,0.29199200439453127,-1.0241962890625,0.16223338042311372,-0.4137307,-1.6969589
4,16000,155.00019717216492,4.644528706868489,28.657298463189676,102.12422,-29.365929,-130.28360188802083,1205.1253876671922,3969.03,-1560.5254,944.8333333333334,63.2204609375,14.845586991594505,151.47763,-186.7487,63.22059375,14.84832745210719,160.06294,-191.26468,8.0059111328125,-62.55659375,3.98685009765625,0.07797828674316407,5.3629644215106964e-05,9.02424609375,0.189406005859375,-1.0202939453125,0.1507306803759334,-0.45690018,-1.5940837
5,20000,179.37342619895935,-14.406536865234376,16.31726911846388,29.7907,-35.708958,-931.4380208333333,686.1901097120729,927.18835,-1827.2688,936.0,72.9373046875,19.07065563241075,214.20113,-284.83777,72.9376953125,19.074376628084075,221.336,-280.69458,8.0065986328125,-72.30678125,4.694548828125,0.07697564697265626,6.44262582063675e-05,7.702974609375,0.0034352426528930662,-1.00015771484375,0.1543891758143769,-0.48265907,-1.7082251
6,24000,203.74123120307922,-25.18463134765625,14.140434506083373,20.305588,-40.0156,-1384.6891927083334,594.6476267504984,528.3109,-2008.3759,905.7333333333333,81.540890625,22.942718071318403,261.10257,-295.69638,81.54096875,22.948094964506314,273.68814,-296.4529,8.00661767578125,-80.8845859375,6.97571923828125,0.08195050048828124,-6.413111835718154e-05,8.381701171875,-0.07275396728515625,-0.9912124633789062,0.14419377698657898,-0.55501616,-1.4314067
7,28000,228.20547676086426,-25.277591959635416,9.570311011904646,9.347728,-35.64228,-1388.5985677083333,402.4603086019788,67.5,-1824.4648,967.7666666666667,90.332453125,19.884282423562585,294.4219,-282.1955,90.332671875,19.87694487339541,304.346,-288.23834,8.007458984375,-89.6611953125,7.574720703125,0.08909806823730469,-7.245774567127227e-05,9.4933037109375,-0.02296319580078125,-0.9973204956054688,0.14617350476985938,-0.35689262,-1.5476872
8,32000,252.7536654472351,-27.05154012044271,4.859373743970899,-10.534398,-38.649677,-1463.1981770833333,204.3512396993634,-768.603,-1950.9348,1000.0,98.017140625,17.174566952328085,262.7324,-190.58173,98.0171171875,17.172050328950238,268.51013,-183.69234,8.00786474609375,-97.3195,7.435646484375,0.09010052490234376,-3.050452470779419e-05,8.472533203125,0.13389181518554688,-1.015715576171875,0.15418791890792938,-0.39244908,-1.5728931
9,36000,277.0943684577942,-23.036568196614585,10.189840685217025,15.110221,-33.906425,-1294.356640625,428.51334090472994,309.8301,-1751.4669,938.3666666666667,104.1013671875,16.63404922891597,270.76062,-163.04323,104.1010078125,16.635110647362705,261.4643,-156.51634,8.0054560546875,-103.423359375,7.63420361328125,0.08956436157226562,8.43673124909401e-05,7.40709375,0.02123922538757324,-1.0026917724609374,0.14540931675798638,-0.5378395,-1.510531
10,40000,301.56985998153687,-19.19130655924479,9.797233014457875,7.902412,-34.640675,-1132.6520833333334,412.0030541957992,6.7201343,-1782.3444,943.5,108.8445859375,16.453665055239213,257.36758,-139.70628,108.8442265625,16.456027581102312,251.27347,-132.67657,8.00552490234375,-108.176109375,6.9841376953125,0.08712287902832032,6.123100221157074e-05,6.5077529296875,0.04784035491943359,-1.007083251953125,0.1435189820604575,-0.5360927,-1.5404618
11,44000,325.96991515159607,-16.413497924804688,12.904789566281195,25.22453,-34.323444,-1015.8367838541667,542.6850836350673,735.1671,-1769.0038,973.4333333333333,112.4410859375,16.043642140268524,258.08804,-110.31339,112.4407734375,16.041963525391772,249.05998,-103.03677,8.00385791015625,-111.795703125,6.86857763671875,0.08576490020751953,0.00014914819598197936,5.86029541015625,0.007192881584167481,-1.00092578125,0.13359539900983372,-0.49445516,-1.4698964
12,48000,350.3611350059509,-19.979437255859374,8.34443807634138,5.0750856,-35.613594,-1165.7953125,350.90863008291296,-112.17742,-1823.2584,970.7666666666667,115.52371875,15.921659775287248,252.26341,-82.73914,115.5235703125,15.92112001399399,256.15536,-80.65541,8.005001953125,-114.885640625,6.8762060546875,0.08508956909179688,8.617754280567169e-05,5.575056640625,0.013899694442749024,-1.002126708984375,0.13610315511551324,-0.5033723,-1.4538754
13,52000,374.8147783279419,-16.21733703613281,11.11903954326017,12.014139,-36.110447,-1007.5876302083333,467.5889933121466,179.63058,-1844.1526,902.4666666666667,117.9217109375,15.948981158682207,268.38306,-74.117676,117.92178125,15.947821167795931,262.43985,-63.584133,8.00539453125,-117.2730625,7.08597119140625,0.08449295043945312,2.8152376413345335e-05,5.23483984375,0.024902511596679687,-1.0044450073242188,0.13485029043379226,-0.4625371,-1.4964886
14,56000,399.53916096687317,-18.93797607421875,12.418543840555207,8.2793665,-41.46314,-1121.9986979166667,522.2369991999162,22.57221,-2069.2493,936.1333333333333,119.30928125,16.172688204191658,270.31793,-47.345985,119.3091796875,16.169455676521707,277.4812,-44.876534,8.00335205078125,-118.682390625,6.821013671875,0.0818065185546875,0.00016129136085510254,4.7668115234375,0.009088586807250977,-1.0015772094726563,0.12706194254635156,-0.49882826,-1.5512186
15,60000,424.07906222343445,-18.301708984375,12.89014014239663,14.0774555,-38.305016,-1095.241796875,542.069060790843,266.39923,-1936.4408,907.2666666666667,120.77784375,16.464813808543358,310.29187,-42.08572,120.7776875,16.462485763091795,301.6835,-34.161476,8.00671923828125,-120.14415625,7.6127314453125,0.08384385681152344,-5.019441246986389e-05,4.971728515625,-0.014059404373168945,-0.9967279052734375,0.137407826827343,-0.4859295,-1.5608351
16,64000,448.4866373538971,-11.33030497233073,13.683797777465996,18.547422,-32.43476,-802.0733723958333,575.4447265666212,454.37476,-1689.579,822.1333333333333,122.6237578125,17.259553513923816,328.20474,-32.10661,122.62365625,17.26015552508146,338.32034,-34.358204,8.00541943359375,-121.9625,9.3654228515625,0.08763387298583984,3.737945854663849e-05,5.565486328125,-0.020893552780151366,-0.9957802734375,0.1383759910044897,-0.47503042,-1.5261071
17,68000,472.9606261253357,-21.48056844075521,13.189234557135036,8.531358,-39.348705,-1228.922265625,554.6468546141169,33.169205,-1980.331,874.6,124.3590546875,17.845743540127433,369.81192,-29.124184,124.359046875,17.843434541870014,375.16223,-29.180702,8.006685546875,-123.680234375,10.594474609375,0.08998466491699218,-8.347366005182267e-05,5.880634765625,-0.03043099594116211,-0.9947142333984375,0.13612764937079377,-0.44479465,-1.4707189
