Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,140.4772024154663,-31.00118611653646,6.927878439643638,-23.244158,-43.419003,-1629.292578125,291.3380768111165,-1303.0865,-2151.4993,1000.0,13.314455078125,7.174865253525672,47.66238,-36.428032,13.31359375,7.17641808721454,53.08032,-42.50443,8.11292822265625,-13.4305166015625,1.225658203125,0.04368731689453125,-0.0032539565563201906,1.61658056640625,-0.5720198364257812,-0.1630667724609375,2.24007195493387,7.8949504,-2.131494
2,8000,165.00969910621643,-40.214107259114584,0.5655632533307539,-38.60571,-41.690113,-2016.723828125,23.783628877952303,-1949.0858,-2078.7944,1000.0,34.1254140625,12.000744768554991,184.80774,-44.552288,34.12470703125,11.992428600996547,185.55981,-26.712103,8.01128955078125,-34.2171796875,3.2051591796875,0.044834766387939456,-0.0002577729523181915,1.09765087890625,-0.006832780838012695,-0.9920463256835937,0.33609604044213154,0.28138256,-2.178126
3,12000,189.74969220161438,-38.99101155598958,5.255727592450133,-21.557772,-42.181297,-1965.2891927083333,221.0191356723063,-1232.169,-2099.4502,1000.0,55.216390625,23.646295957295298,295.96667,-42.956097,55.2166171875,23.64182469692219,300.70016,-19.858433,8.0093359375,-55.3690078125,10.704814453125,0.059750869750976564,-0.00015029051899909972,1.40467236328125,-0.005822244167327881,-0.993023193359375,0.37147036809818357,0.28876662,-2.2166796
4,16000,214.08814072608948,-34.55961507161458,0.7795180590847721,-33.110832,-35.943016,-1778.9352864583334,32.781069271824656,-1718.0099,-1837.1117,1000.0,76.7250078125,33.67674828423908,475.75702,-5.23312,76.7259453125,33.6783814189459,454.10376,-3.2413673,8.01452197265625,-76.8987734375,19.548162109375,0.07171302795410156,-0.00042388886213302613,1.8147989501953126,-0.024166606903076173,-0.98397412109375,0.40954556471786885,0.52968866,-2.3651824
5,20000,238.62080597877502,-20.553839111328124,1.6786611144620678,-18.308348,-24.053577,-1189.950390625,70.59275074916215,-1095.5209,-1337.1251,1000.0,98.2011953125,47.829303256476564,680.92194,27.599623,98.203,47.83141227268959,659.6752,20.363256,8.009009765625,-98.3004453125,36.0831328125,0.08606246948242187,-7.141739130020142e-06,2.86071240234375,-0.06886907958984376,-0.9730747680664062,0.4353416346585604,0.5762675,-2.4134016
6,24000,263.38703656196594,-17.378835042317707,4.710837737335049,-14.66535,-41.80905,-1056.4322265625,198.10488594008308,-942.32196,-2083.7961,1000.0,117.17675,57.048755464076514,835.6288,45.732048,117.1775078125,57.048939516874455,837.0818,43.89635,8.00918408203125,-117.1758515625,52.90878515625,0.09287772369384766,-7.930314540863038e-05,3.289859375,0.02745082473754883,-1.0066527099609375,0.4201528071400407,0.49711025,-2.3500094
7,28000,287.88452553749084,-32.185491943359374,5.956771425344612,-26.31447,-44.042706,-1679.0963541666667,250.500116433772,-1432.2024,-2177.728,1000.0,132.417421875,60.864946808487396,929.9675,16.564089,132.418109375,60.868606440430355,945.6532,11.974311,8.010740234375,-132.3974375,57.54665234375,0.09383999633789063,-6.189350783824921e-05,3.11418017578125,-0.015331928253173827,-0.9931494140625,0.4479788595388738,0.7830393,-2.6305976
8,32000,312.44491147994995,-18.807421875,13.772253535566234,7.108191,-44.210964,-1116.5084635416667,579.1645707396128,-26.67925,-2184.8037,968.3,145.273859375,64.42943426726639,1034.9814,21.1765,145.275484375,64.43227064134865,1058.0608,19.432177,8.00985009765625,-145.2365625,70.67896875,0.09636911010742187,0.0001907016932964325,3.534001953125,-0.020297637939453127,-0.9919666748046875,0.4712674262672383,0.7331501,-2.8072872
9,36000,336.8588788509369,-13.312642415364584,10.474591420656344,12.571677,-44.33532,-885.4365885416667,440.48798697202477,203.07672,-2190.0332,1000.0,156.4345,69.42814630969201,1142.7343,35.77613,156.434953125,69.4316570448956,1142.6348,42.327938,8.01419140625,-156.359375,84.824078125,0.10029011535644532,-0.00016832681000232696,4.083199462890625,-0.10600462341308593,-0.9725672607421875,0.5134681154806346,0.9725398,-3.238399
10,40000,361.3483917713165,-21.30898640950521,7.880393015295673,-6.019486,-45.772385,-1221.7069010416667,331.3941258783364,-578.7374,-2250.466,1000.0,166.399984375,71.87844948244224,1177.531,-53.760983,166.400890625,71.87949985913926,1191.2332,-50.494057,8.01220361328125,-166.269046875,98.79753125,0.10428311157226562,-0.00020386725664138793,4.7113603515625,-0.026853538513183593,-0.9929884033203125,0.48711849054221396,1.1097691,-2.6591961
11,44000,385.6501295566559,-27.936419677734374,7.875012400783887,7.0203223,-36.11261,-1500.41015625,331.1679080667892,-30.374393,-1844.2435,967.6666666666666,174.719234375,73.25610213490751,1272.7002,39.060688,174.719515625,73.26233343267194,1301.8552,36.445805,8.01042578125,-174.537359375,113.631765625,0.10619636535644532,0.00021148979663848877,5.16219140625,-0.031127317428588867,-0.9923431396484375,0.5277084965435167,1.4648193,-2.8375041
12,48000,410.14428210258484,-15.66051534016927,16.814995555183277,28.912178,-37.540714,-984.1717447916667,707.1209938900131,890.24384,-1904.2997,853.0333333333333,181.392109375,75.11982428094464,1354.6368,74.154274,181.39271875,75.12100238947826,1360.3694,27.257702,8.00733447265625,-181.122828125,132.04825,0.10974866485595704,0.00046248701214790343,5.7369765625,-0.07635258483886719,-0.9849659423828125,0.527438070268681,1.1712056,-2.8496575
13,52000,434.6699938774109,-11.911474609375,15.86675936460798,9.616508,-37.673016,-826.51328125,667.2448326264256,78.80299,-1909.8633,722.0333333333333,186.444265625,75.46263976299795,1523.565,-11.390145,186.44371875,75.46432269622514,1518.822,-33.951027,8.0136728515625,-186.16740625,142.4960625,0.11005743408203125,-0.00033556562662124634,5.790001953125,-0.08975740814208985,-0.9842269287109375,0.5118077212730261,0.99611634,-2.7566328
14,56000,459.2543742656708,-7.848356119791666,12.016430943928748,8.47417,-31.237722,-655.6470052083333,505.3269898458489,30.764269,-1639.2399,702.0666666666667,191.1228125,74.22634303264576,1456.6962,19.253357,191.122640625,74.22091012645964,1496.2073,-3.7103815,8.009484375,-190.76521875,156.900875,0.11349433898925781,0.000385237455368042,6.40471826171875,0.09259481811523437,-1.013403564453125,0.551157534363404,1.0068043,-2.9116664
15,60000,483.8154652118683,-8.542298380533854,14.152921104183758,14.764199,-31.715124,-684.829296875,595.1728040381773,295.27887,-1659.316,665.9333333333333,195.064078125,72.87395625324592,1382.1771,-25.133348,195.0646875,72.86646004850242,1385.6577,-4.0034013,8.01092724609375,-194.694328125,159.9194375,0.11394404602050781,0.00019478093087673187,6.1998125,0.0398626823425293,-1.0053152465820312,0.5553803166682972,1.7524514,-2.811952
16,64000,508.40123987197876,-15.142662556966146,14.191302491535088,14.4370985,-35.341557,-962.3944661458333,596.7868687116588,281.5233,-1811.8185,935.1,197.45965625,69.75278847472694,1347.3595,-22.073696,197.45815625,69.74218594222582,1340.8174,-43.027927,8.011841796875,-197.0850625,157.1845,0.11377508544921874,-3.302870690822601e-05,5.998595703125,-0.001242218017578125,-0.9983359375,0.5721162080962279,2.688809,-2.8134723
17,68000,532.9219672679901,-14.499896240234374,14.248366020171986,10.38542,-46.80593,-935.3641927083333,599.1865597068523,111.13807,-2293.9297,854.6,199.92975,69.39008574717285,1384.97,50.024406,199.929453125,69.38526860941016,1367.78,33.691452,8.011228515625,-199.54959375,155.912875,0.11437399291992187,0.00019003593921661376,5.485474609375,0.026866012573242188,-1.0031517944335937,0.5528000457896146,1.5246264,-2.8169432
18,72000,557.4661781787872,-8.353817749023438,14.255571599012905,13.843153,-43.053123,-676.903125,599.4895884556016,256.5461,-2136.113,690.5666666666667,201.77084375,68.41243308054466,1375.3999,16.807512,201.77121875,68.40258036068522,1346.0598,13.74524,8.01115185546875,-201.38325,164.184625,0.11523971557617188,3.229814767837525e-05,5.61071875,-0.04813483428955078,-0.9904521484375,0.5484851018782751,1.8485091,-2.8467636
19,76000,582.0934002399445,-14.346212768554688,13.76261022132672,10.832631,-33.85909,-928.9012369791667,578.7590172083715,129.94466,-1749.4762,847.0666666666667,203.147515625,65.84433157075861,1303.9087,-90.40412,203.14721875,65.84550478202745,1317.8739,-10.49074,8.01565380859375,-202.74121875,150.8365,0.11390281677246093,-0.00032907688617706297,5.365615234375,0.1512402801513672,-1.0251046142578124,0.5590377387613246,2.398883,-2.8550074
