Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,82.08750009536743,75.950732421875,27.440567880876664,96.149284,-6.9238462,2868.3557291666666,1153.9582314798054,3717.7659,-616.7685,937.4333333333333,11.1476611328125,6.066044389159215,29.751616,-37.036404,11.146583984375,6.066622309819525,28.702719,-39.907757,8.12519140625,-10.926244140625,0.76253759765625,0.05664713287353516,-0.0034680843353271486,3.265830322265625,-0.679284912109375,-0.4285579833984375,1.1379706915917804,3.1505,-1.4339409
2,8000,106.96244072914124,3.4386212666829428,3.468516408942239,13.5954895,-4.677284,-180.99568684895834,145.86152108535455,246.13112,-522.2938,1000.0,27.9922734375,5.45321275001031,125.1226,-27.523542,27.9920546875,5.451804102198647,123.29728,-33.715996,8.00117431640625,-27.7342578125,1.062171142578125,0.05152035522460938,0.00012595206499099731,2.17817919921875,0.040794963836669924,-1.014642578125,0.11907243421866909,-0.5809827,-1.4395632
3,12000,131.33385276794434,-15.011946614583334,6.7100397755201495,10.328169,-18.45329,-956.8974609375,282.17732309075916,108.73047,-1101.6162,1000.0,42.3168125,13.207005716664169,269.437,-21.604279,42.3170625,13.20411808395396,269.4609,-16.442335,8.0134482421875,-42.063015625,3.449887939453125,0.06249720764160156,-0.00039029034972190856,2.4818369140625,-0.01678333854675293,-0.9924826049804687,0.15559077242675887,-0.44173965,-1.5546211
4,16000,156.01843738555908,-7.259806315104167,6.1891527017326515,-1.7291553,-33.679592,-630.8966145833333,260.2724133800328,-398.31616,-1741.9279,1000.0,57.4155703125,24.00121611502217,421.6352,-4.732519,57.41632421875,23.99764962449448,424.13382,-3.0215547,8.0134638671875,-57.0279921875,11.13969140625,0.09078647613525391,-0.0005899803638458251,3.988587890625,-0.07300229644775391,-0.981672607421875,0.15880358414917167,-0.41681352,-1.5223259
5,20000,180.52630972862244,3.194610595703125,3.948409211661625,7.6800113,-8.399348,-191.25703125,166.04245817460867,-2.632489,-678.8178,898.1333333333333,73.806828125,34.522867421464284,586.2295,0.40020442,73.80759375,34.5220454926993,587.2513,4.3653135,8.0116962890625,-73.1702734375,21.37498828125,0.12000857543945312,-0.00041491129994392393,5.8459033203125,-0.029004993438720702,-0.9943486938476562,0.16689437125138615,-0.42429572,-1.5114423
6,24000,205.11546182632446,11.105850219726562,7.238908935165201,25.451626,-12.363036,141.43429361979167,304.4178323729848,744.7172,-845.50275,754.3,88.2344375,41.896504925828836,751.36115,-14.032272,88.235296875,41.89494002860011,777.6912,-3.467103,8.006826171875,-87.4958125,27.31354296875,0.12890406799316406,0.00025273001194000243,6.0941552734375,-0.021279911041259765,-0.9960496826171875,0.16858002756183493,-0.31584442,-1.6166241
7,28000,230.00002336502075,7.261860148111979,5.66159896137824,12.4355755,-16.765972,-20.2169677734375,238.08723891324652,197.35326,-1030.6594,946.2666666666667,100.9719765625,50.08344536870442,989.7667,-6.775243,100.97246875,50.083849692291025,1003.63824,-22.517305,8.01004638671875,-100.17321875,33.449734375,0.13858535766601562,-0.00017679999768733978,7.2899560546875,-0.10748904418945313,-0.9846776123046875,0.1704153999461855,-0.30092973,-1.6298016
8,32000,255.17404079437256,16.052259318033855,2.9989971604019496,29.684816,11.064582,349.445703125,126.1168398417383,922.7356,139.69887,974.3333333333334,112.4596484375,58.3291758042234,1166.8789,-9.094499,112.4599609375,58.333230238004134,1194.0538,-51.52667,8.009634765625,-111.552140625,42.00676953125,0.14953118896484374,-0.00012785747647285463,8.6260625,-0.04137899017333985,-0.9947788696289063,0.16726361119832225,-0.003719473,-1.5211546
9,36000,280.0361416339874,11.27665506998698,10.952118950468368,24.535198,-22.163,148.617138671875,460.5695206299841,706.17865,-1257.6207,785.3666666666667,122.5888203125,64.83586970188647,1267.6298,-91.691216,122.5891015625,64.83617817237533,1297.6868,-74.25679,8.01216162109375,-121.63928125,49.81125,0.15840800476074218,-0.00044363075494766236,9.499650390625,-0.1871529235839844,-0.9807153930664062,0.1709644403794765,-0.226439,-1.536136
10,40000,304.68994998931885,12.82764383951823,14.643042756608853,45.709396,-32.971706,213.84093424479167,615.7839447944925,1596.6173,-1712.1592,708.0333333333333,132.614515625,71.41178824255839,1473.6483,-5.141663,132.6148125,71.41621314519554,1511.4502,-5.3719645,8.00896142578125,-131.52925,61.0929609375,0.17103532409667968,0.0001591070741415024,11.716103515625,-0.06124935531616211,-0.9942833251953125,0.18537063998897418,-0.10588179,-1.7044178
11,44000,329.1800889968872,8.177646382649739,8.092268807517765,20.189095,-15.482068,18.294580078125,340.3041531728149,523.412,-976.6674,601.7,140.543640625,75.158282976662,1704.2893,-12.982744,140.543765625,75.15980641273633,1733.0964,-37.201756,8.008107421875,-139.4276875,69.1922578125,0.17481997680664063,0.00011154103279113769,12.0452509765625,-0.16936685180664063,-0.9860865478515625,0.18078526339943293,0.3004545,-1.6283104
12,48000,353.7398407459259,6.155857340494792,12.488823779725681,23.867214,-30.620502,-66.72772623697917,525.1925361236582,678.08795,-1613.284,734.1666666666666,148.067796875,79.44868784316076,1717.1282,-10.396427,148.06796875,79.4476462835747,1724.1462,-19.566181,8.011291015625,-146.8711875,78.02603125,0.18437690734863282,-0.00021920426189899446,14.118701171875,-0.31033160400390625,-0.9780836181640625,0.1887859345644041,0.17644691,-1.5712686
13,52000,378.31314182281494,17.9287109375,10.066725626724413,57.131912,-1.3893628,428.35602213541665,423.3360170518607,2076.9683,-384.0269,857.3666666666667,154.34134375,82.58946664072847,1719.3956,-19.123352,154.34253125,82.5926025743226,1770.5692,-89.75544,8.00786376953125,-153.02659375,82.59553125,0.1943989562988281,0.00011120566725730897,15.282806640625,0.04025397872924805,-1.00247265625,0.1836182143773407,0.1657333,-1.5407742
14,56000,402.74389147758484,3.723463439941406,12.545660744481536,19.039402,-28.932919,-169.01722005208333,527.5826475539164,475.06396,-1542.316,560.0666666666667,160.18071875,86.2762134078681,1851.678,-327.5146,160.18159375,86.28051054554557,1879.8904,-246.08237,8.00974853515625,-158.83921875,95.662046875,0.2000099639892578,0.0001313587725162506,16.1642587890625,-0.43073443603515627,-0.9737536010742187,0.1973112764317562,0.89141446,-1.5999272
15,60000,427.1866936683655,10.900174967447917,9.589522175107318,31.369034,-7.9526596,132.78506673177083,403.26816966711704,993.56195,-660.0332,698.6,165.737796875,89.00620483988743,1791.7719,-330.77747,165.738359375,89.01015672382563,1806.2963,-343.02676,8.00721630859375,-164.27578125,104.282203125,0.20955810546875,0.0004854215383529663,18.5380625,-0.23221919250488282,-0.9872247924804688,0.21142675104425387,0.5916788,-1.5375351
16,64000,451.65037870407104,6.169474283854167,12.65114416041918,36.537354,-14.411322,-66.1551025390625,532.0185460426482,1210.9053,-931.63934,655.2666666666667,169.293015625,88.87936487171811,1984.4032,-90.11169,169.293453125,88.88737536905901,1995.6765,-79.5428,8.0092373046875,-167.762296875,105.068703125,0.21344203186035157,-0.00020684280991554261,17.813171875,0.14679904174804687,-1.0077793579101562,0.1919639813493616,0.2080112,-1.6197428
17,68000,475.8495349884033,22.68132120768229,12.653889311731065,58.806614,7.5853972,628.2176432291667,532.1340056790207,2147.3945,-6.6112905,684.7333333333333,173.979640625,90.2990808369609,1979.5549,-120.51752,173.9806875,90.31551084946594,1992.5281,-312.08594,8.00934130859375,-172.39390625,115.479796875,0.22487188720703125,2.5437742471694946e-05,19.7321953125,-0.6642987060546875,-0.96631640625,0.20272019647253042,0.60423154,-1.6055214
18,72000,500.0848243236542,21.007171630859375,24.449924910416392,86.28972,-30.695976,557.8145833333333,1028.192718641144,3303.1416,-1616.4579,530.7333333333333,178.69596875,95.17899978461635,2171.4946,-172.23705,178.697203125,95.19870272225351,2208.5928,-227.05629,8.0055556640625,-176.980625,129.292921875,0.23305050659179688,0.0007530473470687866,22.528169921875,-0.35970611572265626,-0.983732666015625,0.2071098575708731,0.54705,-1.5670761
19,76000,524.5136339664459,6.265074666341146,16.74882905577531,34.947838,-31.618574,-62.1347900390625,704.3385076320429,1144.0614,-1655.256,571.9,181.346359375,99.61648457961162,2247.745,-64.88441,181.345765625,99.62621141045162,2300.3823,-95.07062,8.01283203125,-179.607078125,129.809171875,0.23220071411132812,-0.0010907578468322755,22.666251953125,-0.07470255279541016,-0.9966737670898438,0.21135246545649997,0.7263857,-1.6035916
20,80000,548.862877368927,19.455741373697915,19.504928931020658,61.334957,-21.132387,492.57236328125,820.240737019728,2253.719,-1214.2803,464.3,184.386140625,106.38535143524226,2411.57,-216.0144,184.385828125,106.40790384177295,2481.2222,-365.84903,8.00559765625,-182.580734375,158.050421875,0.24333404541015624,0.0007314186096191406,25.297453125,-1.095175048828125,-0.9564728393554688,0.2269847392191354,1.4022715,-1.6144196
21,84000,573.1875388622284,6.906998697916666,19.426072639035493,47.212646,-36.998226,-35.139973958333336,816.9245987237746,1659.8335,-1881.4865,661.8666666666667,187.958765625,111.91703623666953,2402.1777,-376.9605,187.959078125,111.9372547456833,2520.8203,-461.65738,8.00797802734375,-186.034765625,174.80390625,0.25393258666992186,7.452142238616943e-05,29.53882421875,-1.437244140625,-0.95056103515625,0.2420752322952935,1.2125326,-1.6488094
22,88000,597.4751718044281,12.77769775390625,15.776626282223914,57.785732,-16.688707,211.74051106770833,663.4544445551631,2104.4634,-1027.4103,451.2,189.985890625,113.75369884096078,2541.0142,-253.58716,189.986234375,113.78401030021749,2666.4136,-319.14902,8.00672265625,-187.92171875,184.63278125,0.25978439331054687,0.0004568026661872864,31.538015625,-0.36887310791015626,-0.98827099609375,0.22989723231643702,1.5213425,-1.6038321
23,92000,621.705560207367,22.33258056640625,23.070564449324092,79.20169,-12.59943,613.5520833333334,970.1864425631463,3005.0688,-855.44385,734.5666666666667,192.079921875,117.72860315148566,2629.2336,-426.84427,192.07975,117.7491486168796,2674.0898,-556.8881,8.0077353515625,-189.961265625,203.3016875,0.2674365234375,0.00012757664918899535,33.5272109375,-1.228451904296875,-0.9633359985351563,0.24868165117103108,1.9223837,-1.5432738
24,96000,645.8932654857635,27.408097330729166,25.92697828758685,87.59162,-22.032986,826.9925130208334,1090.3072349877657,3357.8906,-1252.1532,700.5,194.09371875,119.58888326261768,2689.829,-403.2442,194.093609375,119.62419905687979,2714.4814,-306.87653,8.00868505859375,-191.89971875,208.134625,0.2717602844238281,-0.00024049669504165648,36.1355390625,-0.9612012939453125,-0.9733223266601563,0.25755029279795527,1.9542335,-1.5709946
25,100000,670.2645037174225,18.40870361328125,26.29348085394299,82.18005,-28.079685,448.54124348958334,1105.71967514375,3130.3176,-1506.4349,721.4333333333333,195.797359375,124.26041203858935,2696.112,-480.95343,195.799296875,124.28986282074656,2747.466,-588.1476,8.007369140625,-193.55159375,233.9186875,0.27608056640625,0.00028140100836753846,38.59434375,-1.438255615234375,-0.9626390991210938,0.2705291761645128,1.8735828,-1.5417401
