Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,132.161386013031,36.666666666666664,48.18944008199998,100.0,0.0,0.36666666666666664,0.4818943614508729,1.0,0.0,570.3333333333334,6.98539013671875,6.2374070008097116,30.454575,-18.125187,6.9837587890625,6.237045950407933,29.9965,-19.07475,8.25808203125,-6.41493701171875,2.6659892578125,0.11759225463867187,-0.010182498931884765,8.996279296875,-10.9576318359375,0.47274002075195315,0.4866926031299492,1.6306378,-0.15222465
2,8000,166.56984424591064,20.0,40.0,100.0,0.0,0.2,0.4000000079472859,1.0,0.0,623.0666666666667,36.7684375,12.439021263749009,96.45739,-4.988202,36.7703828125,12.438609875102603,96.51398,-7.2161818,8.0121513671875,-35.159453125,13.8556923828125,0.273197021484375,-0.002333720684051514,26.991361328125,-23.97982421875,-0.10090263366699219,0.07603843542749919,0.1620719,-0.33908948
3,12000,200.38728666305542,33.333333333333336,47.140453920527044,100.0,0.0,0.3333333333333333,0.4714044983127119,1.0,0.0,554.9,72.6178828125,17.566035231377626,146.64055,-23.094358,72.621296875,17.570998833304838,150.4857,-20.539482,8.00481640625,-70.2399609375,29.701287109375,0.3516019592285156,-0.0008149349093437195,45.96498828125,-35.33412109375,-0.22858587646484374,0.057849095077492696,-0.023496676,-0.40689954
4,16000,234.28728199005127,10.0,30.0,100.0,0.0,0.1,0.2999999761581411,1.0,0.0,681.2666666666667,103.7345859375,23.81214107341043,184.28821,-49.510456,103.736625,23.81644783547706,187.23593,-42.36366,8.0042939453125,-100.83415625,43.54746875,0.3915557861328125,-0.0007314661741256714,65.42196875,-46.30098046875,-0.29098260498046874,0.059448549994390504,-0.07350683,-0.49273178
5,20000,268.11543321609497,33.333333333333336,47.140453920527044,100.0,0.0,0.3333333333333333,0.4714044983127119,1.0,0.0,589.8333333333334,128.652875,29.807190827047087,213.00635,-66.7224,128.654765625,29.814370486394644,215.46262,-63.286816,8.0019921875,-125.3370859375,56.69390625,0.418105712890625,0.00010123562812805176,85.030546875,-56.75505859375,-0.33182012939453126,0.05894776679832964,-0.1161257,-0.53811884
6,24000,301.80981707572937,26.666666666666668,44.22166141769966,100.0,0.0,0.26666666666666666,0.44221666147792305,1.0,0.0,623.8666666666667,147.868296875,35.15862803068402,232.72482,-76.57695,147.8695625,35.167506309091635,235.70322,-73.72721,8.0041396484375,-144.237328125,65.199375,0.4365438232421875,-0.0007820399403572082,104.7170625,-66.9417265625,-0.3603525085449219,0.05789244202350445,-0.166309,-0.5864363
7,28000,337.25873708724976,33.333333333333336,47.140453920527044,100.0,0.0,0.3333333333333333,0.4714044983127119,1.0,0.0,614.6,162.87925,39.74172083591751,257.43384,-78.21483,162.879703125,39.75183486331166,260.26004,-72.76491,8.0008544921875,-158.95690625,70.451,0.45425991821289063,0.000634010910987854,124.4109453125,-76.0455234375,-0.38855120849609376,0.059393711153419314,-0.18190798,-0.59136766
8,32000,372.1915457248688,40.0,48.98979485566356,100.0,0.0,0.4,0.48989794206770376,1.0,0.0,572.5,174.196765625,44.19451606251617,268.85696,-95.18644,174.197890625,44.200938904054965,273.2001,-90.23863,8.00331298828125,-170.02334375,76.223890625,0.46790142822265623,-0.0005328277945518494,144.139734375,-85.1002109375,-0.4093375244140625,0.06108647647107138,-0.19062744,-0.6540189
9,36000,406.031653881073,33.333333333333336,47.14045115839121,100.0,0.0,0.3333333333333333,0.4714044983127119,1.0,0.0,592.6666666666666,183.026546875,47.940932406452006,285.668,-97.944595,183.027921875,47.95192123366905,286.7289,-94.90538,8.00249365234375,-178.636984375,79.5543671875,0.4805495910644531,-0.00019708074629306793,163.86846875,-93.8538515625,-0.42711453247070313,0.05960769030988862,-0.22116303,-0.6420871
10,40000,440.06375432014465,23.333333333333332,42.295258981257774,100.0,0.0,0.23333333333333334,0.4229525333222696,1.0,0.0,614.7666666666667,189.910875,51.22355415236237,294.51,-99.39256,189.91184375,51.232460413296565,293.98645,-95.5982,8.00267919921875,-185.32565625,82.6108203125,0.4927351379394531,-0.0003626421689987183,183.6184375,-102.0564296875,-0.44404766845703125,0.05868386218544035,-0.22698775,-0.6622963
11,44000,473.66999435424805,43.333333333333336,49.55356424281372,100.0,0.0,0.43333333333333335,0.49553566126289234,1.0,0.0,538.6,195.34753125,53.98286070596852,301.51645,-109.35157,195.3485,53.9846320724704,305.1617,-98.22646,8.00010888671875,-190.57253125,84.7293046875,0.5034326477050781,0.0008894851207733155,203.35075,-109.6540078125,-0.4606708984375,0.060046589962126175,-0.25605294,-0.65421706
12,48000,507.4319763183594,26.666666666666668,44.22166288992308,100.0,0.0,0.26666666666666666,0.44221667944939835,1.0,0.0,602.8333333333334,199.8773125,56.50193138291823,308.86304,-111.18643,199.877015625,56.5037388143475,308.83954,-102.80506,8.00283447265625,-194.96078125,85.53784375,0.5121427001953125,-0.0003792470693588257,223.0979375,-117.2009921875,-0.47456610107421876,0.06023040560496317,-0.25671694,-0.72261804
