Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,131.85518312454224,43.333333333333336,49.55356424281372,100.0,0.0,0.43333333333333335,0.49553566126289234,1.0,0.0,573.9,7.217259765625,6.46412606477086,31.728535,-18.348099,7.2159033203125,6.463717547298149,31.691149,-19.774958,8.260240234375,-6.62203369140625,2.8260244140625,0.12197828674316406,-0.010444368362426758,9.510583984375,-20.93461328125,0.46147402954101563,0.4919525729014688,1.6305853,-0.16590299
2,8000,166.3650941848755,30.0,45.8257569495584,100.0,0.0,0.3,0.4582575764325439,1.0,0.0,599.7333333333333,37.9669609375,12.700768308452838,97.855484,-5.659219,37.96906640625,12.699836982221465,97.563774,-7.129596,8.011537109375,-36.30004296875,14.578626953125,0.2809843444824219,-0.002210862398147583,28.60435546875,-53.72188671875,-0.11168395233154296,0.07525552454341275,0.14095278,-0.33859363
3,12000,201.87007880210876,36.666666666666664,48.18944008199998,100.0,0.0,0.36666666666666664,0.4818943614508729,1.0,0.0,580.8333333333334,74.2987578125,17.822895212338537,152.1039,-24.823288,74.3015703125,17.829081755659768,152.53664,-22.257137,8.0050400390625,-71.874375,30.66257421875,0.35617877197265624,-0.000922305166721344,48.156203125,-84.8878984375,-0.23470928955078124,0.057938791435522996,-0.033623245,-0.42484504
4,16000,236.6458396911621,20.0,40.0,100.0,0.0,0.2,0.4000000079472859,1.0,0.0,653.1666666666666,105.649578125,24.248413607904332,188.03078,-46.226345,105.651484375,24.25918640432939,188.88623,-42.466576,8.00391064453125,-102.7096953125,44.61591015625,0.39566717529296874,-0.0005741897821426392,67.9423671875,-115.7471875,-0.2951806640625,0.05949366707317649,-0.07459267,-0.4880855
5,20000,271.2025327682495,30.0,45.8257569495584,100.0,0.0,0.3,0.45825755909014404,1.0,0.0,610.9333333333333,130.58896875,30.40801497960694,214.94481,-63.206078,130.590328125,30.424014979946353,216.57663,-64.08104,8.00255810546875,-127.236859375,57.65879296875,0.42150439453125,-0.0001671517789363861,87.8000234375,-146.076375,-0.33558944702148436,0.05870165844837643,-0.1266071,-0.5433359
6,24000,306.03511333465576,30.0,45.8257569495584,100.0,0.0,0.3,0.4582575764325439,1.0,0.0,601.8333333333334,149.70578125,35.91543017979876,235.43124,-74.84074,149.70753125,35.93187999534675,236.45529,-73.966255,8.0036201171875,-146.03409375,65.6752578125,0.43970236206054686,-0.000544791579246521,107.69434375,-176.178625,-0.3637401123046875,0.05789350041752945,-0.15840356,-0.56640023
7,28000,341.03955483436584,33.333333333333336,47.140453920527044,100.0,0.0,0.3333333333333333,0.4714045151714518,1.0,0.0,592.5,164.54025,40.56893978156195,259.9985,-72.51408,164.54115625,40.581849391076304,259.58148,-70.06916,8.0009560546875,-160.5875,70.821578125,0.45578750610351565,0.0006383219957351684,127.6003359375,-205.395140625,-0.3901243896484375,0.05964355968423792,-0.18357559,-0.59512764
8,32000,376.760870218277,23.333333333333332,42.295258981257774,100.0,0.0,0.23333333333333334,0.4229525333222696,1.0,0.0,647.4,175.75234375,45.08269762336766,273.3481,-87.21853,175.75371875,45.09458947590054,273.77115,-84.69135,8.00319970703125,-171.56009375,76.439046875,0.4687503662109375,-0.0004050138890743256,147.521859375,-234.4474375,-0.41049896240234374,0.06139175127393909,-0.19431089,-0.6687344
9,36000,411.3845057487488,53.333333333333336,49.888766896967894,100.0,0.0,0.5333333333333333,0.498887636701848,1.0,0.0,522.6,184.483609375,48.89797541821134,287.69897,-88.51498,184.4845625,48.90586876848217,287.21936,-86.375336,8.00265771484375,-180.084546875,79.7676328125,0.48010113525390624,-0.00019249992072582244,167.44434375,-263.09975,-0.42860736083984374,0.06016224026270235,-0.21749948,-0.67011863
10,40000,446.302273273468,30.0,45.8257569495584,100.0,0.0,0.3,0.4582575764325439,1.0,0.0,577.5333333333333,191.270109375,52.20373070959584,294.89258,-91.38258,191.270453125,52.21133497622906,295.8771,-98.1037,8.00284619140625,-186.68159375,82.56721875,0.4917484130859375,-0.0003756689429283142,187.3794375,-291.30803125,-0.4452177734375,0.05898782277925311,-0.2226078,-0.6516104
11,44000,479.96349573135376,56.666666666666664,49.55356424281372,100.0,0.0,0.5666666666666667,0.49553566126289234,1.0,0.0,498.4,196.775046875,54.88149505981046,305.0626,-97.98341,196.7749375,54.88980324249669,302.191,-89.29326,8.00017626953125,-192.012484375,84.744546875,0.5017001037597656,0.0008163042068481445,207.312875,-319.08925,-0.4607338256835937,0.05971911247299116,-0.24641843,-0.6547494
12,48000,515.4113185405731,26.666666666666668,44.22166288992308,100.0,0.0,0.26666666666666666,0.44221667944939835,1.0,0.0,585.8333333333334,201.271421875,57.25165063122635,309.21515,-99.86125,201.27128125,57.25785972248701,307.3794,-105.17952,8.00246142578125,-196.3701875,85.8393359375,0.5107016296386718,-0.00012616807222366332,227.25253125,-346.715125,-0.4742332153320313,0.060415001769529526,-0.23704854,-0.71312803
13,52000,549.9543459415436,40.0,48.98979485566356,100.0,0.0,0.4,0.48989794206770376,1.0,0.0,564.5333333333333,204.7789375,59.27735233628439,314.96823,-97.82095,204.77753125,59.28448363610836,312.45016,-96.78892,8.002369140625,-199.69340625,89.050203125,0.5218638916015625,-1.3458773493766784e-05,247.1909375,-373.5941875,-0.48855108642578127,0.062126525814116276,-0.2374873,-0.69932187
