Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,75.23322606086731,0.7681169509887695,2.898888719229813,10.113035,-2.5600653,-184.81588541666667,359.902243671806,975.37244,-598.0156,1000.0,18.26101171875,11.878129850696194,72.96386,-7.2675877,18.2624609375,11.879026948786672,75.64603,-7.2385654,6.347703125,-17.463130859375,1.5603624267578124,0.22477145385742187,-0.02134151840209961,7.5437998046875,-5.269794921875,0.055249725341796875,0.8047931135182546,2.6850421,-0.73604256
2,8000,93.64304041862488,1.5719417572021483,2.6172038245759537,7.502875,-2.501182,-85.01956380208334,324.9305438602738,651.31635,-590.7052,1000.0,60.90289453125,12.721934797820651,154.13295,8.582129,60.9043515625,12.7217026670961,165.74893,7.0909457,6.0068974609375,-58.790765625,3.75728173828125,0.4060765380859375,-0.0017019890546798705,23.49543359375,-9.134220703125,-0.60033837890625,0.0978615810115795,-0.2713538,-0.9479211
3,12000,112.08090710639954,1.1427443186442057,1.5065398173539213,4.2645645,-1.1909641,-138.305224609375,187.0396125601918,249.27435,-428.03928,1000.0,100.5638671875,11.285437588436702,198.43977,43.71043,100.5638203125,11.283006096005622,203.93071,45.761738,6.00574560546875,-97.734046875,4.926142578125,0.48130230712890626,-0.0007926641702651978,40.5003828125,-10.351908203125,-0.7405740966796875,0.09205664706870031,-0.407371,-1.0876496
4,16000,130.53704690933228,1.3274608612060548,2.2006442196053753,7.757616,-2.6385214,-115.37233072916666,273.21391192006797,682.94293,-607.7561,1000.0,133.297296875,10.164648066337564,230.84492,77.200554,133.295984375,10.167768468302176,227.1191,80.04067,6.00418212890625,-130.02134375,5.72611376953125,0.5253692626953125,-0.0006122881174087524,57.3034453125,-9.9765341796875,-0.8240367431640625,0.08664047695247017,-0.52259386,-1.1280981
5,20000,149.04127192497253,2.3451576232910156,2.850569443950657,11.21425,-0.41533858,10.976575724283855,353.90329422974673,1112.0902,-331.744,1000.0,159.919640625,9.91973805727752,248.12326,95.27436,159.918359375,9.918918949411776,244.70029,89.70889,6.00273388671875,-156.269828125,6.56497265625,0.56015087890625,0.0001524924784898758,72.690859375,-7.6773955078125,-0.8934346923828125,0.08634075641999696,-0.62545645,-1.2340732
6,24000,167.4303002357483,1.7525638580322265,1.8607391567745428,7.507875,-0.3846715,-62.595011393229164,231.0141139266892,651.93713,-327.9366,1000.0,181.23296875,10.119062302160215,243.28008,78.8132,181.23221875,10.118868899857334,249.0977,88.42379,6.00340087890625,-177.26753125,7.3700732421875,0.5868026733398437,-0.0004741264581680298,84.5675859375,-4.1337490234375,-0.9506401977539063,0.08590374092775763,-0.6189973,-1.2701257
7,28000,185.87333297729492,3.9117024739583335,3.6608815650069606,14.272333,-1.9548706,205.46591796875,454.50498713802176,1491.7567,-522.87964,1000.0,198.267015625,10.583437089386415,248.52852,75.38541,198.266078125,10.582761631540228,243.09325,76.31881,6.0022177734375,-194.02721875,7.89942236328125,0.6135560302734375,-0.00010860297083854675,89.517296875,-0.14209921264648437,-0.9983935546875,0.08681646117475765,-0.69184583,-1.3244373
8,32000,204.2633318901062,3.6175468444824217,3.3603374953540444,11.581871,0.05027888,168.94593098958333,417.19194223602483,1157.7311,-273.93674,1000.0,211.76509375,11.101458941283349,237.72142,73.35726,211.764265625,11.096940386318204,236.15471,62.66322,6.00076171875,-207.29684375,8.2332373046875,0.6312933349609375,0.000652366816997528,85.186359375,3.23152197265625,-1.038150390625,0.08931652049898389,-0.6807783,-1.3937091
9,36000,222.59136843681335,3.1673489888509114,2.5169335162769144,8.906372,-0.5567701,113.05309244791667,312.4817861358749,825.5631,-349.30295,1000.0,222.897015625,11.638665355185704,246.79381,63.195133,222.89575,11.641900349599286,247.33649,43.331688,6.00346337890625,-218.326625,8.205296875,0.644444580078125,-0.0009499608278274536,74.584328125,5.19851806640625,-1.070078369140625,0.0878337136706153,-0.6756641,-1.3853302
10,40000,240.93018078804016,3.7610997517903644,3.030066148226835,12.646708,0.4108251,186.76829427083334,376.18813998671817,1289.9324,-229.17429,1000.0,231.362796875,12.124142366575873,254.50546,61.198765,231.3613125,12.12427510719713,253.91005,69.08881,6.00014501953125,-226.74121875,8.0133798828125,0.6488428955078125,0.0009739847183227539,60.7239921875,5.46031689453125,-1.0904285888671874,0.087280138903961,-0.77919304,-1.4193511
