Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,132.33501553535461,0.5726678212483723,3.525894145424616,14.4000025,-2.9407892,-209.08123372395832,437.7460831730346,1507.6072,-645.2832,1000.0,21.026625,13.244123696945751,182.02835,-22.12235,21.026705078125,13.241624121496578,184.12242,-18.880116,6.6003193359375,-20.109021484375,3.50859814453125,0.2692335205078125,-0.04648898315429688,0.3095816040039063,-0.5176221923828125,0.514510009765625,10.985506787353964,65.360634,-11.605627
2,8000,150.86712908744812,2.7846758524576822,3.07770658640996,11.623549,-0.42318586,65.5435546875,382.1027784946523,1162.9055,-332.71823,1000.0,57.05172265625,13.602352737670053,270.7008,3.8396673,57.05312109375,13.597381986066289,273.2241,4.8881946,5.999578125,-56.031140625,2.57233056640625,0.2594591979980469,0.0002971097230911255,0.0855208740234375,0.007793784141540527,-1.0824415283203126,1.890208825579035,6.213931,-8.1342945
3,12000,169.3948495388031,0.8730175018310546,1.6276502076821384,5.2356815,-0.9963791,-171.79226888020833,202.07568714056953,369.8403,-403.8812,1000.0,84.8738359375,13.819613552845825,321.39297,49.3681,84.8742578125,13.817720167415462,327.2412,48.804367,6.00130322265625,-83.8400625,2.37318603515625,0.2512413330078125,-8.015603572130204e-05,0.06536964416503906,0.0026192469596862792,-1.03298291015625,1.920435817846759,5.35252,-7.656927
4,16000,187.9353108406067,5.552168273925782,3.0740579294021626,11.476834,0.070301466,409.1326171875,381.6497740075317,1144.6907,-271.4509,1000.0,105.801390625,13.728641365772507,425.6978,73.75778,105.80146875,13.73164001494359,428.9138,72.16759,5.99921142578125,-104.790359375,2.21910595703125,0.23874154663085936,0.0004286298155784607,0.05363610076904297,0.00034363716840744016,-0.9986029052734375,1.9972690705646987,6.852038,-7.2670646
5,20000,206.57505869865417,4.016666412353516,2.966162866683606,13.116632,0.341222,218.49733072916666,368.25442970859154,1348.2745,-237.81563,1000.0,120.67171875,13.914882994477532,547.91693,92.04653,120.671875,13.917183061776546,543.8647,89.11598,5.99983251953125,-119.679125,2.0825791015625,0.22195681762695313,0.00028369230031967163,0.04659675598144531,0.0003324397206306457,-0.9981234741210937,1.976128657920898,7.27007,-8.796431
6,24000,225.29990553855896,1.257679239908854,1.0069347255427763,3.9909022,-0.2720876,-124.03582356770833,125.0127576822995,215.2987,-313.9591,1000.0,130.4164609375,14.702769190700097,627.46344,104.05923,130.4164453125,14.703890854124293,622.107,99.952065,5.99989306640625,-129.469,2.08831689453125,0.204832275390625,0.00027604851126670837,0.044351139068603516,0.0006524941921234131,-1.0032959594726563,2.0625159800517303,6.611164,-11.791285
7,28000,243.88092160224915,-0.10875527858734131,0.4528551547835017,0.80181706,-1.1449305,-293.68108723958335,56.222778135289616,-180.63193,-422.32413,1000.0,136.973671875,16.011537344209017,689.6134,110.66615,136.973546875,16.01100500437121,695.6857,109.57495,6.00107275390625,-136.07884375,2.6394794921875,0.1924110565185547,9.053698182106018e-05,0.04880813980102539,-0.00043040731549263,-0.9776605834960937,2.2418206363634448,7.3294206,-9.476435
8,32000,262.4948010444641,0.5624635060628255,0.5503656790038846,1.5876186,-0.34856895,-210.348095703125,68.32889213209884,-83.07326,-323.4544,1000.0,141.760078125,17.352059495921512,771.2198,115.151855,141.76,17.352268403583434,769.6775,112.39894,6.0004833984375,-140.8965625,3.59111767578125,0.18686497497558593,0.0002526736259460449,0.054111644744873046,-0.0008195762634277344,-0.9700445556640624,2.3209079623137256,8.22587,-8.69948
9,36000,281.1696922779083,-0.5033346176147461,0.5053105935756915,0.62944883,-1.6641377,-342.66884765625,62.73521987289117,-202.03175,-486.78464,1000.0,145.859546875,17.919942626861282,811.32855,120.48083,145.85953125,17.920091726885776,822.096,119.28757,6.00396044921875,-145.01375,4.8818662109375,0.18994293212890626,-0.00030876585841178893,0.06084486389160156,-0.00012260323762893676,-0.9808115234375,2.3492973933045387,9.000328,-10.540392
10,40000,299.9285731315613,-0.9778436024983724,0.28520349955915153,-0.5577485,-1.6784996,-401.5800455729167,35.40852357366326,-349.42444,-488.5677,1000.0,150.10725,18.319294814484536,844.6179,109.982796,150.107515625,18.318299422981383,838.1919,109.29178,6.00156787109375,-149.2579375,5.5720419921875,0.19527682495117188,0.00020666344463825227,0.061218196868896485,0.0001582368016242981,-0.9848209228515625,2.4116253879321206,7.2205725,-8.344117
