Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,75.50016021728516,11.804575602213541,9.896071680243674,29.644644,-0.877658,1185.380078125,1228.6148840598235,3400.2566,-389.14175,1000.0,14.6259306640625,9.692906152826406,67.24791,-18.861822,14.6257734375,9.695911267771587,68.3973,-18.322289,6.2454267578125,-12.91953515625,2.3767421875,0.29283026123046874,-0.016526531219482422,6.666369140625,-3.194525634765625,-0.10465771484375,0.9038721498537555,2.6544247,-1.082075
2,8000,94.00570464134216,16.499718221028647,9.795473966141412,32.26556,-0.52702516,1768.2907552083334,1216.1256514028476,3725.648,-345.61008,1000.0,48.7041484375,10.089918390403364,134.31763,10.395703,48.69978125,10.103278397381713,134.51588,4.654811,6.00334130859375,-44.8762578125,4.688283203125,0.554072998046875,-0.0011566051244735719,11.476375,0.17330990600585938,-1.0201094970703124,0.10294584491305747,-0.5964547,-1.3308133
3,12000,112.41580629348755,20.859952799479167,10.253376127169448,33.997166,0.4240557,2309.6213541666666,1272.9750455789251,3940.6301,-227.53168,1000.0,75.6631640625,7.949920400544901,161.05429,40.466377,75.6616875,7.958775374939916,161.3602,38.596756,5.99856005859375,-72.012,3.3417392578125,0.5136183471679687,0.0011465107202529908,5.07659375,0.09757061004638672,-1.01612060546875,0.08030537733265462,-0.7335872,-1.2911527
4,16000,130.8624210357666,18.815511067708332,10.26125168450772,35.085873,1.362191,2055.80078125,1273.9527987069746,4075.795,-111.06052,1000.0,94.1356328125,7.396957778370781,186.0964,62.389114,94.135578125,7.400112963664811,184.78433,66.26228,6.00059765625,-90.6595,2.641011474609375,0.48358013916015624,7.180434465408325e-05,3.8967626953125,0.012956660270690918,-1.0031569213867189,0.07696380696007123,-0.7154755,-1.3130549
5,20000,149.36259937286377,18.945501708984374,11.15670043149986,36.893517,-0.44033274,2071.9391927083334,1385.124350615015,4300.2173,-334.84705,1000.0,107.8421328125,7.254360219033791,200.21642,76.90613,107.842359375,7.255194259976779,198.9062,77.92642,5.9997197265625,-104.4464921875,2.35046533203125,0.47013421630859376,0.0005258475542068481,3.314047119140625,0.007443084716796875,-1.00214453125,0.07745415100440066,-0.7570104,-1.2790543
6,24000,167.86756229400635,14.87467549641927,9.258852130444545,29.674866,-0.68357867,1566.538671875,1149.503139041676,3404.0088,-365.04648,1000.0,117.990921875,6.944580564638155,210.42737,92.2336,117.991109375,6.943794160525641,206.64017,91.49568,6.000048828125,-114.6650078125,2.139225341796875,0.457437255859375,0.00036996710300445557,2.88908984375,0.004981149196624756,-1.0016405029296875,0.07788282165925252,-0.70020556,-1.2707599
7,28000,186.31699466705322,19.758107503255207,11.628526290889859,34.220867,-0.31333113,2172.825390625,1443.7023238881345,3968.4028,-319.07956,1000.0,125.312796875,6.671015899021677,213.20268,99.58626,125.31315625,6.6685780788523425,211.79427,97.46892,6.000892578125,-122.0444765625,2.002358154296875,0.4473810424804687,1.497572660446167e-05,2.680569091796875,0.0015350342988967895,-1.00048974609375,0.07811987593059386,-0.7355516,-1.271902
8,32000,204.77155566215515,17.265431722005207,8.623036744402317,31.211607,1.3566191,1863.35546875,1070.5654580641017,3594.798,-111.752266,1000.0,130.3832890625,6.129028968258349,213.32834,104.03025,130.3836171875,6.125988121825736,209.22226,104.43129,6.0004501953125,-127.1766875,1.8500159912109375,0.435960693359375,0.00021369405090808868,2.4720576171875,0.0022870659828186034,-1.0008145751953126,0.077406991091874,-0.6899182,-1.2506126
9,36000,223.19314551353455,21.284840901692707,10.302896412134146,34.562397,-0.3549496,2362.372135416667,1279.1231371529482,4010.8047,-324.24658,1000.0,133.655671875,5.710647607211462,212.00294,108.654915,133.655890625,5.70818833453312,208.71916,108.967964,6.00074951171875,-130.488390625,1.7438790283203125,0.42880844116210937,0.00012317012250423432,2.392022705078125,0.0008699879050254822,-1.0002537841796875,0.07767891750665752,-0.7472394,-1.2684008
10,40000,241.63641214370728,24.862823486328125,9.675467998478592,35.07933,-0.6771682,2806.585416666667,1201.2266508310022,4074.9827,-364.2506,1000.0,135.59878125,5.235623918168684,207.7765,109.97292,135.598953125,5.2331804607117265,204.16127,109.84574,6.0001025390625,-132.4885625,1.6275828857421875,0.4193233337402344,0.0004276849925518036,2.242380859375,0.0014539569616317748,-1.00052001953125,0.07851073596213398,-0.72295207,-1.2680405
11,44000,259.9993271827698,25.161273193359374,10.086411322139059,38.150177,0.23759884,2843.6380208333335,1252.245982225537,4456.234,-250.68063,1000.0,136.50471875,4.819190154994924,200.80193,110.274025,136.504875,4.816316060084201,195.90762,111.62397,6.00043994140625,-133.436078125,1.5354625244140625,0.41279656982421875,0.000289255678653717,2.19065771484375,0.00023092377185821532,-0.9999768676757812,0.07862488996197835,-0.7247452,-1.2517773
