Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,75.4314603805542,34.61265869140625,15.472621569377527,74.726585,12.886431,1106.2216145833333,503.56763862133425,2411.7583,399.12592,364.3666666666667,8.9410078125,5.867597397466019,30.851126,-8.353987,8.940904296875,5.867872338526973,29.373253,-8.975062,3.023805419921875,-8.877220703125,0.7002474365234375,0.101669921875,-0.002300377607345581,9.786533203125,-18.800435546875,1.055825927734375,0.29210348788029894,2.0113797,0.5960437
2,8000,93.71462178230286,28.35862833658854,12.126195307276241,52.942345,10.63002,902.6799479166667,394.6557993999328,1702.7747,325.6894,273.3666666666667,29.057025390625,6.73390094039109,58.287197,-0.09336312,29.0569453125,6.732288104723386,60.077454,2.1636329,3.003223876953125,-28.72230859375,1.722678466796875,0.17891395568847657,-0.00040032660961151123,29.538029296875,-52.5086015625,0.7828379516601562,0.07869888705638457,1.0403508,0.49759895
3,12000,111.0248908996582,12.142484537760417,3.1172566826073878,18.710224,2.6004167,374.9136067708333,101.45337599114187,588.66547,64.36014,141.53333333333333,47.4029296875,6.83970999476586,76.997856,-13.171717,47.4029140625,6.836885827077998,78.90725,-8.322255,3.002659912109375,-46.88617578125,2.451298095703125,0.21090127563476563,-0.0003378838896751404,49.27995703125,-84.2666015625,0.7115589599609375,0.07790609590627623,0.97715944,0.370641
4,16000,129.96065640449524,28.57332967122396,17.39436402227984,81.92067,10.512468,909.6673177083334,566.1121502552888,2645.895,321.8636,288.1333333333333,62.89590234375,6.825412933936671,93.030106,-31.224989,62.89582421875,6.8263485961566595,96.00259,-25.991577,3.00158056640625,-62.24112109375,3.038429931640625,0.2307567138671875,-0.00013899792730808259,69.1197734375,-115.234921875,0.6681740112304687,0.07756668790197581,0.91810554,0.37254825
5,20000,149.08026432991028,23.908980305989584,18.318120759976534,85.97439,2.374166,757.8627604166667,596.1764839374327,2777.8262,56.996643,242.2,76.3716484375,6.961124190818607,101.9507,-36.265488,76.371234375,6.9635064353384495,104.47861,-33.72214,3.00155322265625,-75.6485234375,3.437170654296875,0.248313232421875,-0.00019091548025608062,88.99134375,-145.54378125,0.63594970703125,0.07714102330374466,0.9753254,0.33050153
6,24000,167.27368426322937,16.655315144856772,12.091956558450677,52.267624,2.3362057,521.78701171875,393.54142094575,1680.8153,55.761204,177.63333333333333,87.6735859375,7.0888432920152775,111.16418,-39.004284,87.6733046875,7.094801133576613,111.49775,-43.54838,3.0013896484375,-86.849359375,3.89996240234375,0.2631697998046875,-0.00015099665522575378,108.90190625,-176.043328125,0.6168026733398437,0.07678903502827555,0.90635157,0.34416834
7,28000,185.65544056892395,21.81737060546875,8.54410708912996,60.870663,17.790096,689.78984375,278.07418075038896,1960.8074,558.71924,241.96666666666667,96.9389296875,7.201364074343832,118.82632,-42.48383,96.938546875,7.204374484904987,117.79595,-41.669632,3.00122265625,-96.041671875,4.16218115234375,0.27568093872070315,-0.0001266064941883087,128.823046875,-205.764265625,0.597512451171875,0.07770082602828952,0.87470055,0.34933504
8,32000,205.12390303611755,38.4531005859375,21.97244738326654,106.05587,14.6641865,1231.21171875,715.1091758139686,3431.3928,456.98425,364.6333333333333,104.53490625,7.467971455238028,124.916916,-40.50727,104.5349921875,7.46316736965613,124.16838,-42.971348,3.00107861328125,-103.5583125,4.437705078125,0.28928753662109374,-5.38836419582367e-05,148.740390625,-234.981125,0.5799581298828125,0.07686326410295617,0.8356922,0.29128414
9,36000,223.8572063446045,15.826138305664063,12.639589728928112,70.07361,2.3981197,494.8007486979167,411.3645990278373,2260.324,57.776234,173.53333333333333,110.692046875,7.76132992389191,133.75609,-43.17044,110.6921328125,7.753645563942809,130.45033,-45.96145,3.000691650390625,-109.6581640625,4.66198828125,0.29759124755859373,9.43434238433838e-06,168.67734375,-264.53459375,0.5683756103515625,0.07615524032105035,0.8766262,0.2923663
10,40000,242.81593465805054,24.562247721354165,15.898058323692918,79.01336,10.4458,779.1236979166666,517.4137931417497,2551.2747,319.6938,243.36666666666667,115.6700078125,8.268286551638132,134.88063,-64.53219,115.6698671875,8.249943655110622,135.01688,-55.894596,3.001575927734375,-114.57653125,4.94743994140625,0.307357666015625,-0.0002508575916290283,188.614078125,-293.34890625,0.5553710327148438,0.07770137834148756,0.8388696,0.2702311
11,44000,260.14642000198364,11.6990478515625,4.564429306340292,19.182291,2.3409195,360.48167317708334,148.55266322082548,604.0292,55.91461,133.66666666666666,119.5576484375,8.874561168728288,140.22975,-83.875275,119.5582109375,8.854157745093545,140.1726,-73.987915,3.00070458984375,-118.4079375,5.23108740234375,0.31726617431640625,4.695473611354828e-05,208.5485,-321.7396875,0.5428740234375,0.07826136170799203,0.8431733,0.15371469
