Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,133.0009593963623,38.532763671875,21.12696998334317,76.47508,10.601163,1233.804296875,687.5924907482145,2468.6646,324.7502,550.4,12.1462314453125,8.08674141535081,37.77155,-8.631187,12.1486123046875,8.083558255032248,42.055084,-9.162645,3.0711123046875,-11.79250390625,2.6840478515625,0.18055891418457032,-0.004196773529052735,9.625666015625,-99.2701015625,10.303533203125,2.1849405786041984,19.44746,6.4018636
2,8000,150.37808084487915,10.25758565266927,2.1271058662060467,14.751797,7.9780893,313.56826171875,69.22819301652567,459.8356,239.38039,140.33333333333334,35.17168359375,8.631038194359935,66.8789,-8.045661,35.1766796875,8.60085342785819,65.7018,-5.3795576,3.002414794921875,-34.451828125,5.05725927734375,0.24129525756835937,-0.00028275927901268003,29.04833984375,-263.630625,8.12230908203125,0.7962966268113245,11.433828,4.8515787
3,12000,168.39069652557373,17.507387288411458,8.995069721623896,42.801468,8.855459,549.5182291666666,292.75101764696456,1372.7323,267.935,196.16666666666666,52.5071484375,10.140139144755363,89.74046,-15.718999,52.51335546875,10.092285884525865,86.079895,-14.679114,3.001864990234375,-51.585640625,6.8366806640625,0.26170916748046874,-0.0002588841319084167,48.56230859375,-412.164375,7.50386474609375,0.7704356994533597,9.938174,5.0830717
4,16000,188.0516233444214,31.910465494791666,21.351645684525117,95.63779,14.806963,1018.2768880208333,694.9047896414779,3092.3286,461.631,360.9,65.43855078125,11.904300693446887,100.85022,-25.009937,65.44609765625,11.868770734579044,101.88622,-20.32182,3.001169921875,-64.36716796875,8.29275390625,0.28164776611328124,-7.715126872062683e-05,68.2154140625,-551.74925,7.096109375,0.7472064265299491,9.5595255,4.6520033
5,20000,206.53901648521423,25.79206746419271,11.47122759341824,59.180325,12.060009,819.1493489583333,373.33940099235883,1905.7941,372.2294,275.46666666666664,74.862703125,13.625270639513918,108.98324,-25.414618,74.86203125,13.614245755825037,109.80085,-30.725452,3.001375244140625,-73.660484375,9.666744140625,0.29580084228515624,-0.00017426688969135283,87.93065625,-685.1468125,6.79685791015625,0.7645256776058931,9.701618,4.0520873
6,24000,224.4730257987976,20.484686279296874,6.413467098329434,41.477474,9.244563,646.4166666666666,208.73093725336133,1329.6421,280.59866,232.33333333333334,81.5129140625,15.138857804504275,116.73505,-29.93269,81.51871875,15.123725152884788,120.94409,-30.44817,3.001287841796875,-80.195890625,11.152484375,0.30692205810546874,-0.000126149982213974,107.68078125,-814.16625,6.5646474609375,0.758707348600442,9.075157,3.816
7,28000,243.27851915359497,28.87294921875,18.687624546686415,73.157616,10.872071,919.41875,608.2022415830664,2360.6953,333.5671,312.6333333333333,86.07571875,16.35342567323434,120.21072,-41.893578,86.0802109375,16.376101108017135,123.81499,-42.60322,3.0004912109375,-84.69134375,11.9887587890625,0.3152540893554687,0.00011947859823703766,127.4367421875,-938.677625,6.36805810546875,0.7597141892936201,8.901847,3.7150202
8,32000,262.7495470046997,58.02772623697917,27.51333601826879,93.65082,7.363311,1868.2819010416667,895.4414181471244,3027.6614,219.37196,640.4333333333333,89.0386640625,17.251115000196364,121.668785,-52.889507,89.042234375,17.301135258993845,123.125046,-60.248463,3.0015,-87.5644765625,12.975498046875,0.3241804809570312,-0.0002271606922149658,147.220359375,-1061.36025,6.2112724609375,0.7846246645739684,8.772936,3.4145205
9,36000,280.6212704181671,22.46763916015625,9.330501163020397,42.412014,8.089976,710.9532552083333,303.6678969971417,1360.0574,243.02184,241.23333333333332,90.874109375,17.83090189810936,123.189285,-59.15368,90.8796484375,17.864956968881845,124.323685,-62.195873,3.001021240234375,-89.315109375,13.821376953125,0.3301191711425781,-7.288683950901032e-05,166.994578125,-1177.467,6.05236865234375,0.7523259830456642,8.586935,3.4990783
10,40000,300.3352427482605,37.8361328125,19.080743490111086,101.5794,14.985455,1211.1317708333333,620.9965646711206,3285.7026,467.44016,375.7,91.698859375,18.236832578603117,123.52392,-70.39846,91.6988828125,18.27570450078464,126.99774,-77.9934,3.000321044921875,-90.0777734375,14.071185546875,0.33715420532226564,0.00014810878038406372,186.78915625,-1293.9745,5.928494140625,0.7588721650519441,8.589831,3.2086484
