Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,121.0150740146637,28.474686686197916,17.13065410005798,59.06818,8.863731,906.4568359375,557.5295208925413,1902.1444,268.20422,479.1666666666667,9.28075,6.485220577397503,31.261072,-3.7887383,9.280166015625,6.482452576475203,31.505964,-4.406971,3.0318671875,-9.0739287109375,0.9847037353515625,0.13986152648925781,-0.0023875508308410644,9.72853125,-18.27388671875,1.031291259765625,0.3048513431669017,1.9372628,0.5362095
2,8000,151.16914105415344,44.54790445963542,15.668447926219963,63.46824,10.3512945,1429.5717447916666,509.9409279514638,2045.3474,316.61807,724.5,31.17013671875,8.997624252406855,58.994,-7.8329444,31.17083984375,8.994503964227267,59.336037,-8.123749,3.004767822265625,-30.5583984375,2.30209130859375,0.26393646240234375,-0.0009557880163192749,29.308115234375,-49.85726171875,0.707361083984375,0.0713365103231026,0.961821,0.45285097
3,12000,182.48766469955444,14.257886759440105,4.504297987264266,27.37265,10.139771,443.7609049479167,146.5956456834013,870.5904,309.7339,211.53333333333333,51.203546875,12.04370880895914,80.64149,-10.978954,51.2048359375,12.042651415905054,80.54824,-12.020587,3.002171875,-50.35709375,3.2026865234375,0.3223537902832031,-0.00045824623107910154,48.9909921875,-79.4142734375,0.6230892333984375,0.06675520461576188,0.8466301,0.3636442
4,16000,210.73676824569702,18.912105305989584,6.774926847506363,43.019287,10.559548,595.2358723958333,220.49487900326997,1379.8214,323.3958,257.03333333333336,67.9766328125,15.50032560141883,94.69212,-20.490194,67.97815625,15.501000471743751,95.33536,-17.893435,3.001447509765625,-66.959515625,4.04147509765625,0.3613757629394531,-0.00023533234000205994,68.80509375,-108.3719140625,0.5760081787109375,0.06736669729170118,0.8290154,0.28009984
5,20000,239.82052206993103,20.6010986328125,14.580143438330492,84.49894,10.836107,650.2053385416667,474.5213202094647,2729.807,332.39664,262.8666666666667,81.5736796875,18.959449326127594,110.09678,-28.611336,81.5754140625,18.95886748331767,109.48744,-28.056969,3.001703857421875,-80.4159140625,4.733423828125,0.38704498291015627,-0.0003711774051189423,88.678,-136.87240625,0.5440338134765625,0.06703677992696304,0.7735492,0.30943346
6,24000,269.1147096157074,23.807423909505207,18.147813408518854,90.45836,10.750174,754.557421875,590.6336992304678,2923.7605,329.59985,288.6666666666667,92.15265625,22.321710983927733,123.206215,-42.70658,92.154140625,22.319475800296026,123.18286,-39.465576,3.00068310546875,-90.875234375,5.2868837890625,0.4083221740722656,2.557539939880371e-05,108.568578125,-164.749078125,0.517825439453125,0.06737567897022796,0.8069254,0.28885412
7,28000,298.0114974975586,34.00076904296875,20.729746641802773,77.59833,10.706251,1086.3073567708334,674.6645586264826,2505.2214,328.17038,397.46666666666664,100.241390625,25.363354470574276,132.78915,-42.883823,100.2425234375,25.36197202506146,133.22006,-41.15382,3.000909912109375,-98.8724765625,5.744416015625,0.4222716064453125,-7.343814522027969e-05,128.4829375,-192.65328125,0.4996285705566406,0.066815775377941,0.75509214,0.28276452
8,32000,327.6928255558014,42.85653483072917,21.753979221723245,86.975105,15.871468,1374.5247395833333,707.9990112987447,2810.3955,496.2761,470.76666666666665,106.42196875,27.925247313139415,141.46735,-37.22873,106.421859375,27.924762756378076,143.86427,-38.805916,3.00066162109375,-104.96884375,6.0645751953125,0.4366246643066406,1.862652599811554e-05,148.407359375,-220.070875,0.4830260009765625,0.06777908697409903,0.7058913,0.24822901
9,36000,360.6786653995514,59.044287109375,22.493890953063975,97.49655,16.927925,1901.366796875,732.0800047353658,3152.8235,530.6593,638.9,110.9568828125,30.337002983155735,147.47508,-48.59277,110.9573984375,30.34127139722395,150.97345,-43.412037,3.00102685546875,-109.447921875,6.3515830078125,0.4477193603515625,-0.0001462128311395645,168.340625,-247.460765625,0.4701133422851563,0.06814316393682349,0.70320696,0.23308192
10,40000,392.3167142868042,48.9376708984375,23.028854890160808,97.198235,17.337236,1572.439453125,749.4907159754105,3143.1145,543.9806,531.9,114.303265625,32.43752263968381,153.23743,-49.293114,114.303125,32.44097910051421,156.55934,-49.743206,3.0006513671875,-112.728515625,6.6515498046875,0.45709521484375,9.088024497032165e-06,188.275484375,-274.38771875,0.4574571533203125,0.06890350197915528,0.68796986,0.18590343
11,44000,421.2190899848938,51.05906575520833,15.480109465455985,81.07706,18.03886,1641.48203125,503.8113568919753,2618.4392,566.8155,535.9,116.739078125,34.165695514653294,158.98734,-48.96496,116.738734375,34.169267990403306,158.82031,-67.157394,3.000878662109375,-115.1200859375,6.91151708984375,0.4658458251953125,-0.0001334874927997589,208.219359375,-301.549625,0.4482731323242187,0.06839761067952213,0.6831364,0.19661415
12,48000,449.2002921104431,51.3798095703125,11.675605648213894,67.3177,19.130207,1651.9208333333333,379.991008665556,2170.631,602.3341,531.8,118.4405625,35.393237348397506,161.19957,-51.09384,118.440625,35.39593373538831,161.22046,-76.711845,3.000581787109375,-116.7761484375,7.1465947265625,0.47248388671875,6.040529906749726e-05,228.166046875,-328.2654375,0.438775390625,0.06851676217922098,0.71203303,0.21378723
13,52000,477.8831090927124,33.917826334635414,17.790707612226953,77.18055,11.203852,1083.6078125,579.0114852056046,2491.6245,344.36514,374.8,119.639640625,36.445155713757075,160.75502,-61.971596,119.6386875,36.44932784016737,162.31256,-72.66433,3.000308837890625,-117.9384453125,7.390255859375,0.47873788452148436,0.00015571522712707519,248.1158125,-355.2966875,0.4320322875976563,0.06839247245637702,0.65670776,0.16194485
14,56000,507.46842789649963,56.234517415364586,12.950915196505742,99.703316,30.642698,1809.9205729166667,421.49691576570285,3224.644,977.0165,577.0333333333333,120.3335546875,37.21470811386273,165.63667,-63.7983,120.3324296875,37.22109448954988,164.92299,-80.343834,3.000806884765625,-118.6096015625,7.5541220703125,0.4841128845214844,-8.018539845943451e-05,268.066125,-381.843375,0.4244439697265625,0.0687200238160524,0.6431481,0.10163391
15,60000,538.1552455425262,52.5567626953125,18.78917262181866,81.277275,17.086777,1690.2255208333333,611.5072090062935,2624.9553,535.82916,570.4666666666667,120.9802265625,37.7486589165761,165.59189,-62.793877,120.9795234375,37.75700100643588,168.65858,-87.942856,3.000198974609375,-119.21925,7.7314677734375,0.49095166015625,0.0002327042520046234,288.0209375,-408.45846875,0.4181540222167969,0.06806840978489605,0.65151495,0.16636966
16,64000,569.8881776332855,43.58616943359375,14.152673274236626,72.01334,16.781467,1398.2713541666667,460.6089809516672,2323.454,525.8927,465.43333333333334,121.2751875,38.34890643812415,165.61299,-67.52898,121.274640625,38.35862517087911,167.81029,-88.079926,3.001154052734375,-119.505234375,7.8096279296875,0.49493817138671875,-0.00023326751589775084,307.986,-435.5334375,0.4141885375976562,0.06949634833313637,0.6299337,0.18264294
17,68000,599.4123198986053,57.147135416666664,9.758236371564964,83.397,38.604156,1839.622265625,317.5888589565656,2693.9436,1236.1278,594.7666666666667,121.6803984375,38.59583688689753,166.2632,-69.485146,121.6804921875,38.60237201261083,168.976,-85.29646,3.000802001953125,-119.8727265625,7.9076875,0.5011116943359375,-8.406858891248704e-05,327.93846875,-461.728,0.40802593994140623,0.06846664295932814,0.63254404,0.17595278
18,72000,626.4952149391174,46.81570638020833,7.759475002292224,57.189144,18.237516,1503.3786458333334,252.53772820445397,1840.9897,573.2808,485.6666666666667,121.68375,39.01255406917112,169.26035,-70.220345,121.6824453125,39.01627224633332,170.33878,-79.139534,3.000525146484375,-119.853734375,8.0962666015625,0.5056710815429688,8.310352265834809e-05,347.897125,-488.426125,0.4039461669921875,0.06777313496195082,0.65465987,0.16490662
19,76000,654.6889252662659,52.02537434895833,17.97418577200833,85.611496,6.541693,1672.9311197916666,584.9829057331505,2766.0159,192.63184,576.6,121.7248515625,39.16042645324486,168.53664,-73.97733,121.7248984375,39.1670636504704,169.95207,-90.334206,3.000239990234375,-119.8765625,8.13429443359375,0.5089928894042969,0.00016343948245048522,367.8586875,-514.852625,0.399589599609375,0.06975104065258912,0.64219713,0.1767627
20,80000,682.1392295360565,50.6030517578125,12.996577198639969,72.96992,25.176966,1626.6404947916667,422.98299808227125,2354.5864,799.13025,533.9333333333333,121.796921875,39.26002260569904,169.8015,-73.776306,121.7961953125,39.263569310494425,169.86285,-81.29479,3.0008203125,-119.93434375,8.2580810546875,0.5122918090820312,-9.921330213546752e-05,387.8175625,-540.7905625,0.39445721435546877,0.06835280032557124,0.63098407,0.14703618
21,84000,711.7689101696014,51.46241455078125,7.972231674041049,77.26751,29.098688,1654.6095052083333,259.46203158329996,2494.4546,926.76556,527.0666666666667,121.7603671875,39.41417416361784,168.80348,-76.00252,121.7595703125,39.41485760471551,171.9878,-80.00473,3.000161865234375,-119.884953125,8.3519267578125,0.5165894165039062,0.00026596498489379883,407.78790625,-568.32475,0.39369955444335936,0.06854588813497424,0.6860402,0.12834322
22,88000,742.5815670490265,53.8990234375,15.61549971599399,82.267494,16.587704,1733.910546875,508.21773549008174,2657.1826,519.5865,566.7,121.8329921875,39.61814293981988,170.36444,-77.465256,121.8325859375,39.61999652953039,171.39839,-78.82379,3.0010703125,-119.938296875,8.499099609375,0.5207222900390625,-0.00022140976786613466,427.746,-593.9015,0.38845162963867186,0.07047849262158416,0.64017594,0.14140503
