Epoch,PolicyUpdates,Time (second),AverageNormalizedTestEpRet,StdNormalizedTestEpRet,MaxNormalizedTestEpRet,MinNormalizedTestEpRet,AverageTestEpRet,StdTestEpRet,MaxTestEpRet,MinTestEpRet,TestEpLen,AverageQ1Vals,StdQ1Vals,MaxQ1Vals,MinQ1Vals,AverageQ2Vals,StdQ2Vals,MaxQ2Vals,MinQ2Vals,LogPi,LossPi,LossQ,Alpha,LossAlpha,AlphaCQL,AlphaCQLLoss,AverageDeltaCQL,StdDeltaCQL,MaxDeltaCQL,MinDeltaCQL
1,4000,116.78813481330872,35.74048665364583,16.034058497493444,76.92258,10.484404,1642.3569010416666,736.0708978533703,3532.8914,482.93347,530.8666666666667,12.121646484375,7.849377961023409,38.112724,-19.662174,12.12215625,7.849997014330643,36.809784,-23.49423,6.16252490234375,-11.325791015625,1.5723326416015626,0.17462496948242187,-0.008271403312683105,8.224734375,-7.5485615234375,0.2503773040771484,0.7009769706480422,2.6289155,-0.5328277
2,8000,146.85221791267395,44.79924723307292,17.360510857678797,66.70814,1.3145323,2058.2147135416667,796.963947323424,3063.98,61.97486,822.0666666666667,41.25428515625,9.755832790566883,72.27656,-0.36797005,41.253796875,9.757363405397998,71.76863,-1.4606272,6.01030126953125,-39.20691015625,4.16798828125,0.355529052734375,-0.002417109489440918,25.10262109375,-14.32451953125,-0.4173346252441406,0.11056471394273257,-0.015310069,-0.76432323
3,12000,179.15694546699524,41.55667317708333,22.958258658378252,74.23155,1.7096285,1909.359375,1053.9380753472503,3409.3552,80.11243,691.6666666666666,70.4048515625,10.931426885361306,106.066414,6.0611567,70.404125,10.934337757152923,103.15386,5.700882,6.0057646484375,-67.618109375,6.1384345703125,0.4561878967285156,-0.0016288087368011475,43.04440625,-18.5048515625,-0.5664818115234375,0.09220093710003181,-0.23937324,-0.92814255
4,16000,210.31039690971375,41.64915364583333,25.666395679711243,75.90736,1.800222,1913.604296875,1178.25973367505,3486.286,84.27128,674.7,96.2865078125,13.01178071979389,133.18958,-16.593601,96.285390625,13.00984903352072,134.8723,-9.801457,6.0028623046875,-92.98678125,7.42030322265625,0.5214257202148438,-0.0006147027611732483,61.4173984375,-21.244453125,-0.652182373046875,0.09030563381189982,-0.37105122,-0.98117113
5,20000,239.3950388431549,49.23060302734375,24.161592498908952,75.88949,1.6901604,2261.6442708333334,1109.1792761617332,3485.4658,79.21871,692.3,118.2388046875,16.052158635990363,158.25426,-40.475792,118.2370390625,16.051911393195518,159.77663,-57.324154,6.00255615234375,-114.5394296875,8.4834404296875,0.5687711791992187,-0.0005024603605270386,79.773390625,-22.98220703125,-0.7110931396484375,0.08991792751367489,-0.41130695,-1.0672053
6,24000,268.08032298088074,51.30172526041667,25.37171314919432,79.45684,0.60133004,2356.7223958333334,1164.7318432440434,3649.2312,29.234093,748.0333333333333,136.623234375,19.4323827669177,184.49928,-62.65121,136.62140625,19.436045765535745,185.13553,-87.51648,6.00242919921875,-132.62746875,9.632416015625,0.6029841918945312,-0.000581608533859253,98.0254453125,-24.135322265625,-0.753281982421875,0.09105587310870118,-0.38384944,-1.0992323
7,28000,297.1471230983734,64.37815755208334,20.288328566978272,83.11236,4.591392,2957.0182291666665,931.3704239810639,3817.044,212.40471,882.6666666666666,151.797859375,22.85249712832276,200.2178,-79.9514,151.795765625,22.853744222774527,202.59021,-119.657364,6.0024609375,-147.5581875,10.571791015625,0.6294749755859375,-0.0005115651488304138,116.0600234375,-24.893794921875,-0.785076171875,0.0903158030186431,-0.41347167,-1.1001961
8,32000,325.77605414390564,59.05686848958333,22.669224015124925,88.04452,1.7653624,2712.7356770833335,1040.6695280763565,4043.4631,82.67099,762.6333333333333,164.29421875,25.83005153885683,218.62439,-99.768875,164.292,25.831840817100122,217.57445,-131.55788,6.00098095703125,-159.871390625,11.68038671875,0.6496185302734375,0.00023150110244750976,133.829375,-25.65958984375,-0.8080776977539063,0.08996403081348657,-0.47732383,-1.1215065
9,36000,355.0600893497467,57.84090983072917,24.240463384683196,78.67994,2.0740764,2656.914583333333,1112.7998921639057,3613.566,96.84303,855.3333333333334,174.524171875,28.36538934159022,232.09053,-108.35951,174.522359375,28.362912623706332,228.88966,-134.30582,6.00064306640625,-169.9405625,12.7839375,0.6679423217773437,0.00043546217679977416,151.394921875,-26.021748046875,-0.8279810180664062,0.08757979433100443,-0.4876421,-1.1668768
10,40000,385.8210837841034,61.03903401692708,24.4750324523108,84.75065,0.9674007,2803.7302083333334,1123.5682444782783,3892.2524,46.039192,789.6666666666666,182.76790625,30.56372645800901,242.72276,-128.35008,182.766328125,30.562272494040755,238.14157,-141.10477,6.001802734375,-178.05375,13.5797041015625,0.6816724243164063,-0.000438873827457428,168.64275,-26.222263671875,-0.8443839721679688,0.09022542801795372,-0.5072419,-1.1454415
11,44000,417.89477157592773,57.04396158854167,29.27015309114673,82.39208,0.23541538,2620.3296875,1343.6964935083618,3783.9785,12.436153,810.6666666666666,189.299984375,32.54231860209103,246.95099,-130.98515,189.2990625,32.537891372982365,247.4215,-150.66084,6.00111279296875,-184.450328125,14.391662109375,0.696776611328125,5.977565050125122e-05,185.314203125,-25.477333984375,-0.862392333984375,0.09031387592046337,-0.54399,-1.1848649
12,48000,448.5214509963989,61.56463623046875,20.33844816986619,86.83976,2.065537,2827.858333333333,933.671248352438,3988.1565,96.45102,773.8666666666667,194.611203125,34.21018671390146,256.36874,-174.65765,194.610125,34.199331133810205,251.11919,-174.5287,6.000361328125,-189.664796875,15.225421875,0.7064815673828125,0.0005008664727210999,201.52796875,-25.921548828125,-0.87139208984375,0.08917975754469845,-0.5325731,-1.2152474
13,52000,477.1781108379364,66.20164388020834,25.20596407598805,86.61619,0.7024997,3040.7286458333333,1157.1229839563296,3977.8933,33.878456,887.3333333333334,198.672484375,35.68261131139368,263.09845,-153.565,198.67190625,35.676886775614264,258.9894,-169.8592,6.00181201171875,-193.64165625,16.066517578125,0.7142266845703125,-0.00042990267276763914,217.5666875,-25.532859375,-0.8826036376953125,0.090568451174482,-0.4935561,-1.1957916
14,56000,505.97012186050415,65.227001953125,20.75511671351589,83.35378,0.9609086,2995.9861979166667,952.7990694090054,3828.127,45.74116,841.9333333333333,202.004765625,36.667875927029094,269.56546,-160.97728,202.003609375,36.66521171355758,265.57666,-152.76692,6.00114013671875,-196.8995625,16.653412109375,0.7223319091796875,-2.4522066116333006e-05,232.969703125,-25.434150390625,-0.890740478515625,0.09177754949500773,-0.5260946,-1.211328
15,60000,534.9594740867615,65.07693684895834,19.224585834832265,84.29568,1.6535853,2989.096875,882.5374779577353,3871.3662,77.539665,867.1,204.5735,37.945750750248706,268.93173,-169.65955,204.57334375,37.94001350816839,262.71582,-166.91344,6.000587890625,-199.38996875,16.985251953125,0.7313323364257812,0.0003304113149642944,247.799328125,-24.66257421875,-0.900427734375,0.08982561807523318,-0.5726027,-1.2155796
16,64000,563.6226665973663,63.843562825520834,24.105953729490427,82.19742,0.26502493,2932.4768229166666,1106.6248988101916,3775.042,13.79543,845.1,206.68228125,38.63768076631929,274.82162,-153.38356,206.681890625,38.62852087512542,268.07623,-158.79523,6.0010380859375,-201.44975,17.52171875,0.73534521484375,7.203096151351929e-05,262.27853125,-24.5838671875,-0.906224609375,0.09129159893646815,-0.5770921,-1.2324651
17,68000,593.1534762382507,54.02245279947917,31.637487241535688,83.2827,0.92242414,2481.62265625,1452.3729548569818,3824.864,43.974464,736.1666666666666,208.2649375,39.3992893336923,274.53482,-149.65445,208.264796875,39.393179930033575,269.99548,-161.06708,6.00045849609375,-202.96146875,17.67015234375,0.743205078125,0.0003630734086036682,276.0020625,-23.316205078125,-0.9155126953125,0.09252560441593548,-0.5717872,-1.293806
18,72000,624.3384540081024,67.95068359375,20.523988759091964,87.033966,1.4317238,3121.02109375,942.1887991975564,3997.072,67.35474,857.4,209.315109375,40.39358395834665,273.47903,-165.3451,209.314984375,40.392281131424106,268.7566,-172.45163,6.0007802734375,-203.963015625,18.757630859375,0.7477357788085938,0.00013509158790111543,289.154875,-22.68799609375,-0.921548583984375,0.09011280937125844,-0.6046853,-1.2164291
19,76000,656.2363493442535,61.81683349609375,24.98279095197332,84.92518,0.7467749,2839.43671875,1146.8777906414732,3900.2646,35.910988,821.0666666666667,210.30325,41.00683936857363,270.8373,-166.3662,210.303140625,41.001600578514,270.55017,-162.91835,6.001345703125,-204.92134375,18.39851953125,0.7523663330078125,-0.0002688442766666412,302.1033125,-22.58425390625,-0.9252190551757813,0.0909388192726737,-0.5980081,-1.2363845
20,80000,686.7723233699799,53.94073486328125,28.117034751715316,81.234055,-0.23669983,2477.870572916667,1290.7605509930956,3730.8171,-9.2371025,769.2,210.964265625,41.705157055213206,272.89816,-168.18433,210.964734375,41.699796162571346,272.11664,-163.34386,6.0004423828125,-205.5311875,19.02870703125,0.7573790283203125,0.0004708129167556763,314.23875,-21.3877734375,-0.9319266357421875,0.09212038862470245,-0.5989154,-1.2315575
21,84000,715.5261726379395,57.00428059895833,26.078383699036387,84.39956,1.5050066,2618.5080729166666,1197.1727806238607,3876.1353,70.7189,776.3333333333334,211.33359375,42.18407726856189,271.66708,-169.83743,211.333015625,42.177165030381076,271.17285,-158.90369,6.001181640625,-205.862796875,19.38858984375,0.7603836669921875,-0.00013872843980789184,325.91303125,-20.67619921875,-0.9365213623046875,0.09220629484322543,-0.60075754,-1.2484095
22,88000,744.4765655994415,68.48819173177084,17.734342419206488,81.88629,21.716608,3145.696875,814.1252974819048,3760.7593,998.567,925.2,211.814109375,42.39015953024947,274.2124,-151.43022,211.8135625,42.38856125182831,271.38028,-158.53432,6.00030078125,-206.311375,19.503689453125,0.764802001953125,0.0005259602069854736,336.9604375,-19.90392578125,-0.9408877563476562,0.09110452002692258,-0.64858943,-1.2793751
23,92000,773.206399679184,60.203531901041664,27.768270074253216,85.5532,3.6401954,2765.375520833333,1274.749910113091,3929.0947,168.7384,820.1,211.986234375,42.787244010335606,272.66086,-156.65854,211.98709375,42.782952212300636,270.79803,-155.55052,6.00093359375,-206.45440625,19.6525078125,0.76816943359375,3.960525989532471e-05,347.44690625,-19.20671484375,-0.9447047119140625,0.09021511119960626,-0.64623475,-1.2505293
24,96000,801.9528307914734,62.57947591145833,26.028916462033145,81.61741,1.3402373,2874.4466145833335,1194.9018927649806,3748.4158,63.15489,827.3333333333334,212.14671875,43.154219086898095,274.24786,-153.90785,212.14675,43.15174967483937,272.292,-153.30074,6.00004443359375,-206.57478125,19.66840234375,0.7727738647460938,0.0006001838445663453,357.4086875,-17.92039453125,-0.9498663330078125,0.08936687992795687,-0.6617481,-1.2878734
25,100000,831.3706691265106,66.05923665364584,22.79393579693036,83.68152,1.3373475,3034.1911458333334,1046.3946037067788,3843.172,63.022232,905.1666666666666,212.227171875,43.638430597353064,270.5528,-165.19713,212.226875,43.63627647955311,270.22415,-154.49484,6.0013525390625,-206.630671875,19.990125,0.7757420654296875,-0.00023250451683998107,366.8389375,-16.869380859375,-0.9540030517578125,0.09198216734009665,-0.5894169,-1.2833523
26,104000,862.9543862342834,69.01194661458334,14.926373122206659,89.88046,32.63032,3169.7403645833333,685.220670052113,4127.7456,1499.5797,868.1666666666666,212.1499375,43.949498006234386,273.89294,-155.64146,212.15159375,43.94655845455933,271.38202,-167.48706,6.000166015625,-206.51734375,20.335576171875,0.778509765625,0.000579042911529541,375.3695,-15.7697080078125,-0.9579872436523438,0.09123293886983286,-0.61812794,-1.2898886
27,108000,894.7092483043671,51.2822021484375,23.669168918482683,82.83574,0.56764734,2355.8263020833333,1086.5737588094669,3804.3455,27.687832,753.8333333333334,211.98928125,44.34065431407164,270.58386,-156.10686,211.9895625,44.33693578721922,272.04114,-147.15166,6.0000625,-206.330765625,20.23098828125,0.7816431884765624,0.0008073456287384034,383.3221875,-14.6046376953125,-0.9619033813476563,0.0915498358916182,-0.59835166,-1.2630169
28,112000,924.6894671916962,72.84444986979166,14.938357498051229,83.099045,20.613852,3345.6778645833333,685.770831497909,3816.4326,947.9431,958.2333333333333,212.035109375,44.371849183913895,271.90036,-150.96815,212.035296875,44.36925737489867,271.77448,-154.62357,6.0016396484375,-206.358875,20.51650390625,0.7846334838867187,-0.0006141160726547241,390.88875,-14.02403125,-0.9641201782226563,0.08961890172495264,-0.6175913,-1.3253955
29,116000,953.3052802085876,67.89531656901042,19.88508162804887,81.860725,2.2777631,3118.4796875,912.8586235922114,3759.5854,106.19361,935.3,212.00340625,44.5242462036136,270.38165,-149.88165,212.00459375,44.52165063202396,270.5438,-149.29565,6.00016796875,-206.31725,20.639958984375,0.7851292724609376,0.0004960312247276306,398.1591875,-13.6793935546875,-0.9656367797851563,0.09051146663291351,-0.6579575,-1.2800229
30,120000,982.0070359706879,53.90314534505208,26.880904147972775,81.52041,-0.008117352,2476.145052083333,1234.0137762602167,3743.963,1.2563671,768.5333333333333,212.00759375,44.54909510865512,272.47638,-148.39037,212.008015625,44.54427011412354,269.23093,-161.1169,6.00094921875,-206.29396875,20.52312890625,0.7884758911132812,-6.439390778541565e-05,404.8378125,-12.50974609375,-0.9691033935546876,0.09000540611136901,-0.6310221,-1.3255593
31,124000,1010.800130367279,66.95555419921875,19.883872659195024,84.13267,7.625071,3075.3385416666665,912.8032281567223,3863.883,351.67093,865.2,212.004765625,44.63539934849917,269.00565,-145.60245,212.005671875,44.63300908520509,271.05145,-154.22498,6.000392578125,-206.280734375,20.791791015625,0.7894721069335937,0.00038704237341880796,411.1821875,-11.64337890625,-0.9716807861328125,0.08935628788473587,-0.6474017,-1.3419179
32,128000,1039.6172852516174,71.55944010416667,16.01127430743464,85.34383,34.283752,3286.6872395833334,735.0249882373614,3919.4832,1575.4833,891.3666666666667,211.746734375,44.904260655309756,269.89432,-141.30319,211.747265625,44.89827251687976,269.83813,-155.11859,6.00107080078125,-205.99953125,20.7595546875,0.7926236572265625,-0.00012718835473060608,417.0341875,-10.812345703125,-0.9740660400390625,0.09004907117975684,-0.6687137,-1.2764825
33,132000,1069.4633927345276,54.91203206380208,21.94711031187629,83.75855,5.0535917,2522.459895833333,1007.5196937694733,3846.7085,233.62279,757.9666666666667,211.634328125,44.82849819032531,268.0204,-131.43951,211.634984375,44.827423247382846,267.50482,-151.68858,6.0005283203125,-205.872078125,20.82509765625,0.794064697265625,0.00022832661867141723,422.4988125,-10.8628291015625,-0.974281982421875,0.09057407395228755,-0.66202587,-1.2814102
34,136000,1101.6515736579895,66.18002115885416,20.080564459457225,83.655304,2.5261145,3039.7359375,921.8326673896227,3841.969,117.59461,844.2,211.310359375,44.97507643128581,268.3794,-143.4032,211.310375,44.978303102718314,269.50073,-146.92937,6.0003251953125,-205.53840625,20.8298515625,0.7938033447265626,0.0004905950427055359,427.67975,-9.839427734375,-0.9769910888671876,0.08921004538487132,-0.6708705,-1.268372
35,140000,1132.9477381706238,65.75301106770833,21.29877139086705,86.62865,2.8062081,3020.13359375,977.7565818409679,3978.465,130.45279,897.3333333333334,211.359015625,44.90688978319474,269.0765,-137.15611,211.359859375,44.910080995250944,267.58456,-143.44049,6.0010166015625,-205.57190625,20.88437109375,0.7977862548828125,-0.0001411677896976471,432.131375,-8.510107421875,-0.9803133544921875,0.0909073266378348,-0.65895677,-1.3128948
36,144000,1162.171348810196,64.15325520833333,19.700742900543965,81.118515,7.5444193,2946.6934895833333,904.3962995648902,3725.5132,347.96848,834.8333333333334,211.205609375,45.05652560950522,267.2495,-136.51572,211.206125,45.05926097929259,268.6081,-132.18391,6.00006396484375,-205.3793125,20.8164140625,0.8001947021484375,0.0006750752925872803,436.00996875,-6.551533203125,-0.984973876953125,0.09023300103797036,-0.698675,-1.3064799
37,148000,1190.8046028614044,64.06527913411459,18.94958188577873,87.272934,20.696308,2942.655208333333,869.9129075181415,4008.0425,951.72845,881.8666666666667,211.1428125,45.37488980702873,266.87726,-140.18756,211.142671875,45.379805530654274,269.36688,-137.69594,6.000568359375,-205.312015625,20.88516015625,0.8024771728515625,0.00022637635469436646,439.15075,-5.6287890625,-0.9871798095703125,0.08935865986446662,-0.700888,-1.293718
38,152000,1219.5332653522491,60.59193522135417,24.9171308833568,84.46256,4.3900485,2783.2057291666665,1143.8635699534568,3879.0273,203.16168,841.2,211.16159375,45.23369872119679,267.97446,-126.781105,211.161671875,45.228833447260165,271.1713,-135.47176,6.00036572265625,-205.320984375,20.961943359375,0.8027371826171875,0.0003181092739105225,441.89059375,-5.5048154296875,-0.9875411987304688,0.0893270185027387,-0.6766078,-1.3438226
39,156000,1248.1834149360657,63.3576171875,20.848668834904064,82.04479,11.100384,2910.16875,957.0937954732198,3768.0356,511.2111,835.6333333333333,210.998546875,45.14448748186206,267.57928,-124.99236,210.998453125,45.14670669052173,267.66815,-130.34091,6.00080126953125,-205.12821875,20.82655078125,0.8063489990234375,0.00010676968097686768,444.125875,-3.084382080078125,-0.9930528564453125,0.08916719139396309,-0.6769688,-1.3388612
40,160000,1277.3581619262695,48.38514404296875,28.378790128662406,85.01584,0.5979481,2222.8317708333334,1302.776880359795,3904.4265,29.078838,669.7666666666667,210.982984375,44.97935776553507,268.0083,-119.08763,210.983359375,44.97675232828622,267.6586,-125.94335,6.0007421875,-205.115015625,21.091625,0.807462646484375,0.00011432141065597534,445.65446875,-3.393254638671875,-0.9923849487304688,0.09199726714346049,-0.6323933,-1.3496479
41,164000,1308.2878365516663,62.03253173828125,20.38923406814039,84.193344,21.370348,2849.3385416666665,936.0027065487934,3866.6687,982.6714,813.0,211.005765625,45.020130219713934,268.2512,-125.81828,211.005765625,45.02125470264018,267.46323,-128.72536,6.00068212890625,-205.1374375,20.76767578125,0.807353515625,9.100346267223358e-05,447.24403125,-3.209822265625,-0.9928228759765625,0.08814920458248146,-0.69054604,-1.3284966
42,168000,1340.2661600112915,61.77941080729167,22.93640012122289,83.559456,4.846751,2837.718229166667,1052.934660840833,3837.5688,224.1274,817.4333333333333,210.999078125,45.03682104678349,266.65692,-110.33166,210.99915625,45.03341675911345,268.18942,-121.172935,6.0011669921875,-205.1044375,20.847552734375,0.8095440673828125,-0.00027941066026687623,448.55309375,-1.4625994873046875,-0.9967379150390625,0.08967985645646816,-0.67399186,-1.3456488
